timestamp,x_est,y_est,theta_est,x_gt,y_gt,theta_gt,error,n_particles,update_time_ms
0.22,-0.3633691414473676,-0.5279736703518565,-0.13541463384756203,-0.4588,-0.55,0.0,0.09793981806120132,1000,139.00256156921387
0.42,-0.2845462641301647,-0.5247324279276022,-0.27116234079183715,-0.4588,-0.55,0.0,0.1760761615410449,1000,266.52073860168457
0.62,-0.19960362121662878,-0.5383017905822918,-0.36893146119967446,-0.4588,-0.55,0.0,0.25946022985805245,1000,291.0003662109375
0.82,-0.1625240477745116,-0.5539257499490878,-0.46736435630174433,-0.4588,-0.55,0.0,0.2963019597974044,1000,295.5472469329834
1.02,-0.13599735237321744,-0.5553000970490184,-0.5267621686555052,-0.4588,-0.55,0.0,0.3228461558445288,1000,305.03129959106445
1.22,-0.11408078588901922,-0.563751987497966,-0.6051175979941024,-0.4588,-0.55,0.0,0.34499341115075866,1000,312.96777725219727
1.42,-0.10891991697323977,-0.5626510651672012,-0.6504432714827448,-0.4588,-0.55,0.0,0.35010872875247967,1000,289.20435905456543
1.62,-0.10642834280695733,-0.5636135148520093,-0.7015509721251616,-0.4588,-0.55,0.0,0.3526345311786653,1000,283.0014228820801
1.82,-0.10168830411379835,-0.5606346645967049,-0.7408693478519623,-0.4588,-0.55,0.0,0.3572700091384713,1000,288.55228424072266
2.02,-0.08587948563383752,-0.5548378752403732,-0.7612920066884,-0.4588,-0.55,0.0,0.3729518937771527,1000,276.03936195373535
2.22,-0.09339803454456788,-0.5523656265196776,-0.8070252048638504,-0.4588,-0.55,0.0,0.36540962295419016,1000,291.45336151123047
2.42,-0.08916781912741825,-0.5490714275452041,-0.816808738867574,-0.4588,-0.55,0.0,0.36963334722860813,1000,273.5116481781006
2.62,-0.09121048742711794,-0.5479803610304163,-0.8334430185547848,-0.4588,-0.55,0.0,0.36759506075998416,1000,269.03700828552246
2.82,-0.11287407738974257,-0.5515866781822197,-0.8814153726797292,-0.4588,-0.55,0.0,0.345929561444829,1000,267.67492294311523
3.02,-0.12288906544306065,-0.5504838248228671,-0.9115256649772168,-0.4588,-0.55,0.0,0.33591128299206563,1000,278.5165309906006
3.22,-0.12018961046217584,-0.5480154824448604,-0.9093468940664705,-0.4588,-0.55,0.0,0.33861620488819444,1000,273.9994525909424
3.42,-0.11412299015458092,-0.556338319674551,-0.9172710368954358,-0.444378,-0.550001,-7.6e-05,0.33031580820277934,1000,263.99993896484375
3.62,-0.06191473038551233,-0.5700182298014747,-0.8571678386766751,-0.414377,-0.550003,-7.6e-05,0.3530301133413432,1000,285.2950096130371
3.82,-0.004150389807166956,-0.5760052823337212,-0.7776597240008634,-0.389867,-0.550005,-3e-06,0.38659192704980677,1000,285.4726314544678
4.02,0.04083879020298527,-0.5684377069802614,-0.7031568411474102,-0.389868,-0.550005,-3e-06,0.4311010366649314,1000,282.1078300476074
4.22,0.05590484248486382,-0.5695735753122144,-0.6841444960583578,-0.384446,-0.550005,-7.8e-05,0.4407854280904476,1000,263.9966011047363
4.42,0.11059595443545692,-0.57771406771671,-0.626080063753285,-0.354445,-0.550008,-7.8e-05,0.4658655551664703,1000,286.9999408721924
4.62,0.1933140029880473,-0.5776937288293138,-0.5222997740158404,-0.324445,-0.55001,-7.8e-05,0.5184985766779613,1000,275.10833740234375
4.82,0.26977229641028433,-0.5745964631697152,-0.43449612792602005,-0.294445,-0.550013,-7.8e-05,0.5647526044472458,1000,304.99768257141113
5.02,0.36182330900723114,-0.5657577709453778,-0.3275026406465753,-0.264445,-0.550015,-7.8e-05,0.6264661441002343,1000,301.9983768463135
5.22,0.43236751106684224,-0.5611883977335095,-0.258898577459902,-0.234445,-0.550017,-7.8e-05,0.6669060841247348,1000,298.861026763916
5.42,0.512595846645592,-0.5509773398941659,-0.18051443962982083,-0.204445,-0.55002,-7.8e-05,0.7170414857300101,1000,297.00493812561035
5.62,0.5468921350638467,-0.5507390337763767,-0.14433733961864648,-0.174445,-0.550022,-7.8e-05,0.721337491441804,1000,298.74563217163086
5.82,0.554694971344947,-0.5564229819767952,-0.12189486218905643,-0.144445,-0.550024,-7.8e-05,0.6991692545461026,1000,277.998685836792
6.02,0.5348764263035927,-0.5659970577242421,-0.108463926846947,-0.114445,-0.550027,-7.8e-05,0.6495177883635271,1000,284.99603271484375
6.22,0.48640488280595506,-0.5814985604058092,-0.10353083524715419,-0.084445,-0.550029,-7.8e-05,0.5717166447915502,1000,280.52306175231934
