timestamp,x_est,y_est,theta_est,x_gt,y_gt,theta_gt,error,n_particles,neff,update_time_ms
0.12,-0.4688517491754746,-0.22743690612671766,0.4463050503217425,-0.4588,-0.55,0.0,0.32271967276661434,1000,86.0709215305926,696.0430145263672
0.22,-0.473231208573559,-0.18292983435938517,0.49790211934085865,-0.4588,-0.55,0.0,0.3673537345452228,1000,825.876824271553,1373.7585544586182
0.32,-0.47487156331432434,-0.18115489218072606,0.49645798203133074,-0.4588,-0.55,0.0,0.3691950821849855,1000,820.8952483865908,1396.6574668884277
0.42,-0.4744552931889837,-0.18268356536389035,0.4976427213861647,-0.4588,-0.55,0.0,0.3676499032484797,1000,824.4562406609674,1375.1206398010254
0.52,-0.47436205299492856,-0.18272688520128225,0.49741973534466377,-0.4588,-0.55,0.0,0.367602663683724,1000,824.7430148207017,1404.4959545135498
0.62,-0.47373725714339754,-0.18418365641465903,0.4998290647923917,-0.4588,-0.55,0.0,0.3661211806016093,1000,827.0268899893398,1375.2999305725098
0.72,-0.4755803955696785,-0.18318048529505757,0.49802402191549255,-0.4588,-0.55,0.0,0.3672031291313357,1000,825.0968748816553,1447.1690654754639
0.82,-0.47382812730964896,-0.18321733920522706,0.4963851112158989,-0.4588,-0.55,0.0,0.3670904042196261,1000,827.786861758863,1384.211778640747
0.92,-0.4754990141854155,-0.183582666477678,0.49785215602638333,-0.4588,-0.55,0.0,0.36679765454589985,1000,825.1821501745363,1395.0679302215576
1.02,-0.47512302973533116,-0.18309101708161896,0.49762354912341994,-0.4588,-0.55,0.0,0.3672718925345927,1000,825.2313035173377,1385.02836227417
1.12,-0.4752878218639398,-0.18303469342499695,0.497859408224612,-0.4588,-0.55,0.0,0.3673355203346159,1000,825.0110932623048,1391.7460441589355
1.22,-0.47464087104937597,-0.1828073920742737,0.49648027560420904,-0.4588,-0.55,0.0,0.3675341406058751,1000,825.7186598401112,1377.274751663208
1.32,-0.4745557495427639,-0.1829451190798291,0.4969645395594167,-0.4588,-0.55,0.0,0.3673928813286604,1000,826.6848785079688,1409.5885753631592
1.42,-0.4744592261357085,-0.18275637666454514,0.4967843832413624,-0.4588,-0.55,0.0,0.3675773255299118,1000,825.496157119468,1400.8970260620117
1.52,-0.47440442080058903,-0.18413101840082716,0.49724853320105106,-0.4588,-0.55,0.0,0.3662015969994366,1000,827.9818292728013,1439.6271705627441
1.62,-0.47261658120193645,-0.18351504956309675,0.4973033488433967,-0.4588,-0.55,0.0,0.3667453023732536,1000,829.4138234329662,1438.9638900756836
1.72,-0.47298264366278864,-0.18321334953976615,0.4965828439331632,-0.4588,-0.55,0.0,0.36706075019961404,1000,828.9579329968263,1393.3250904083252
1.82,-0.47508859372550233,-0.18381459861197935,0.4994210757072861,-0.4588,-0.55,0.0,0.3665474955244686,1000,825.2082000131121,1416.128158569336
1.92,-0.4757108966032415,-0.18256501562403715,0.4991136780313704,-0.4588,-0.55,0.0,0.3678239336520798,1000,821.0497098262636,1407.63258934021
2.02,-0.47425774532021153,-0.18281345980075858,0.49508309766231745,-0.4588,-0.55,0.0,0.3675117647013136,1000,826.9400186959704,1382.293462753296
2.12,-0.4742439377286949,-0.18390803649164875,0.49740505989856654,-0.4588,-0.55,0.0,0.3664175773048665,1000,827.9999144677689,1399.160385131836
2.22,-0.47243310475593236,-0.18260002208121542,0.4975871640878549,-0.4588,-0.55,0.0,0.36765283260164017,1000,826.2712102483499,1405.4696559906006
2.32,-0.47320611916325417,-0.1836271760246982,0.49675666360098714,-0.4588,-0.55,0.0,0.3666559455633897,1000,828.0372827379182,1406.170129776001
2.42,-0.4735526513796807,-0.18326745656106558,0.49800811934977496,-0.4588,-0.55,0.0,0.36702915298368377,1000,827.0872769502535,1394.205093383789
2.52,-0.47510495846749173,-0.183176689081286,0.49850435720660535,-0.4588,-0.55,0.0,0.3671855023063876,1000,825.620633099435,1359.8318099975586
2.62,-0.47523162277471165,-0.1832694199761813,0.49863370804850404,-0.4588,-0.55,0.0,0.3670985106910909,1000,823.9671184383608,1358.5937023162842
2.72,-0.473601663271338,-0.18341600074534292,0.497883792537748,-0.4588,-0.55,0.0,0.36688270297894465,1000,827.3026775976539,1399.1646766662598
2.82,-0.47375169356265406,-0.18311865769468974,0.4969257456602982,-0.4588,-0.55,0.0,0.3671858827244558,1000,827.539528457334,1359.6174716949463
2.92,-0.47233099758351565,-0.18366956656593525,0.4978188382196018,-0.4588,-0.55,0.0,0.36658024272401113,1000,830.9227865589199,1359.2615127563477
3.02,-0.47449118383021566,-0.18248923673199574,0.49674285872717117,-0.4588,-0.55,0.0,0.36784558495083874,1000,825.7906181671309,1404.4036865234375
3.12,-0.4742968425738178,-0.18375961561217946,0.49934191336633665,-0.4588,-0.55,0.0,0.3665680991116061,1000,825.9949064462621,1400.125503540039
3.22,-0.4751586843766047,-0.18382514524752225,0.4987454693430334,-0.4588,-0.55,0.0,0.36654008076543493,1000,826.1196374614968,1379.9412250518799
3.32,-0.475089778520235,-0.18267218749067501,0.4966053696676516,-0.4588,-0.55,0.0,0.3676888341072164,1000,825.3820090447649,1400.6876945495605
3.42,-0.46327032551590885,-0.17748789793949787,0.49992240626542683,-0.444378,-0.550001,-7.6e-05,0.3729918647506097,1000,825.3738281392447,1417.3285961151123
3.52,-0.4514257938232957,-0.1692719115141436,0.4979716172558063,-0.429377,-0.550002,-7.6e-05,0.38136799759223405,1000,824.199481698481,1427.4067878723145
3.62,-0.44080311352697654,-0.1641582228019376,0.5009362706216963,-0.414377,-0.550003,-7.6e-05,0.3867486671821418,1000,824.2755322901972,1372.291088104248
3.72,-0.4297719794465586,-0.15759418591102686,0.50050928012702,-0.399377,-0.550004,-7.6e-05,0.39358520928624746,1000,824.8414068138044,1386.39497756958
3.82,-0.4220303207183243,-0.15287084046045613,0.4999806225524529,-0.389867,-0.550005,-3e-06,0.39843446120134945,1000,823.7053513051436,1396.0368633270264
3.92,-0.4237400169975587,-0.15341693086702674,0.5014728600489586,-0.389868,-0.550005,-3e-06,0.39803192097381196,1000,822.0159590830536,1395.4966068267822
4.02,-0.42315271733472615,-0.153005912469934,0.4997615570184948,-0.389868,-0.550005,-3e-06,0.3983919526142033,1000,822.9609516873818,1387.3989582061768
4.12,-0.42388901731211204,-0.15360951123635444,0.5012153914191264,-0.389868,-0.550005,-3e-06,0.3978527530772163,1000,822.8649268154238,1348.8121032714844
4.22,-0.4200518484029701,-0.15119763697702987,0.501895963569028,-0.384446,-0.550005,-7.8e-05,0.40039366783433317,1000,821.1479095413447,1347.61381149292
4.32,-0.40874505263349686,-0.14455611583490907,0.501587520209729,-0.369445,-0.550007,-7.8e-05,0.4073510937842804,1000,821.6090118639647,1383.8322162628174
4.42,-0.3957469606342897,-0.13704623204452862,0.5000022839859013,-0.354445,-0.550008,-7.8e-05,0.41502201597643595,1000,820.6069247213134,1391.9336795806885
4.52,-0.38415796728068036,-0.1302124836637254,0.49923652329767587,-0.339445,-0.550009,-7.8e-05,0.4221710134188694,1000,822.617594820179,1390.801191329956
4.62,-0.37260942616942255,-0.12347002278550562,0.4992402533211844,-0.324445,-0.55001,-7.8e-05,0.429250700768643,1000,820.4263625928264,1357.2309017181396
