timestamp,x_est,y_est,theta_est,x_gt,y_gt,theta_gt,error,n_particles,update_time_ms
0.22,-0.38776788256425904,-0.5048259697050452,-0.10097008499665054,-0.4588,-0.55,0.0,0.08417989498980376,1500,356.7178249359131
0.42,-0.32147472987323833,-0.5062691072492338,-0.2503787418409286,-0.4588,-0.55,0.0,0.14412016096357608,1500,1105.9634685516357
0.62,-0.29527367945523286,-0.5431635419109161,-0.5216257355351647,-0.4588,-0.55,0.0,0.16366916224540812,1500,1162.235975265503
0.82,-0.30315582907029676,-0.5779503283962811,-0.8227277295422196,-0.4588,-0.55,0.0,0.15813389517068954,1500,1067.6872730255127
1.02,-0.33039048543378063,-0.599267747597298,-1.0997052420612987,-0.4588,-0.55,0.0,0.13753659289237594,1500,1178.4896850585938
1.22,-0.3576806951582022,-0.6082777877259794,-1.260536404547959,-0.4588,-0.55,0.0,0.11671081506836774,1500,1156.0592651367188
1.42,-0.3779001504954837,-0.609279864867848,-1.3392061647687583,-0.4588,-0.55,0.0,0.10029400793967555,1500,1177.3295402526855
1.62,-0.39029857646213617,-0.6075882500442432,-1.3760242990027973,-0.4588,-0.55,0.0,0.0894921872001801,1500,1162.397861480713
1.82,-0.39562476022226395,-0.6072340492983591,-1.3935274815844698,-0.4588,-0.55,0.0,0.08524580529305496,1500,1162.541151046753
2.02,-0.398232335420509,-0.6062655840830933,-1.40106054882024,-0.4588,-0.55,0.0,0.0826695708518277,1500,1131.885051727295
2.22,-0.3996330091694689,-0.6050974917396517,-1.4050953223958011,-0.4588,-0.55,0.0,0.0808484161869676,1500,1073.0364322662354
2.42,-0.4005117784855296,-0.6047462009344482,-1.4075765110190215,-0.4588,-0.55,0.0,0.07996663856931177,1500,1072.9994773864746
2.62,-0.4008417042938521,-0.6042418710209247,-1.4079397340389777,-0.4588,-0.55,0.0,0.07938100914583987,1500,1103.6887168884277
2.82,-0.4007723335400259,-0.6043951683290925,-1.4081911787390933,-0.4588,-0.55,0.0,0.07953643449602389,1500,1090.0356769561768
3.02,-0.4012797366838388,-0.6043181321548264,-1.4097614407309602,-0.4588,-0.55,0.0,0.07911409591690789,1500,1089.7216796875
3.22,-0.4012465449944675,-0.6043817673107148,-1.4096629724112117,-0.4588,-0.55,0.0,0.07918192217236569,1500,1073.9624500274658
3.42,-0.3989031809473031,-0.6191493206828071,-1.4097778561774499,-0.444378,-0.550001,-7.6e-05,0.08276140055078736,2121,1105.7124137878418
3.62,-0.3940306245612695,-0.6486156248056881,-1.4095986366866904,-0.414377,-0.550003,-7.6e-05,0.10068974508141923,1500,1590.2726650238037
3.82,-0.3896167244226256,-0.672443079832158,-1.408342466181096,-0.389867,-0.550005,-3e-06,0.12243833562594085,1500,1067.3425197601318
4.02,-0.3894329457971819,-0.6722831411573281,-1.4081127696036737,-0.389868,-0.550005,-3e-06,0.12227891509598399,1500,1174.5405197143555
4.22,-0.38798083215140994,-0.6780066433935685,-1.407212249104235,-0.384446,-0.550005,-7.8e-05,0.12805044220850212,1500,1211.536169052124
4.42,-0.38166029102634613,-0.7073609163227252,-1.4045389229540903,-0.354445,-0.550008,-7.8e-05,0.1596891115289808,1500,1161.006212234497
4.62,-0.3733415477385634,-0.7366714988916117,-1.3989347606856888,-0.324445,-0.55001,-7.8e-05,0.1929595489972257,1500,1122.4310398101807
4.82,-0.36136284261760426,-0.7649427467862938,-1.3875257996994999,-0.294445,-0.550013,-7.8e-05,0.22510618319854042,1500,1108.198881149292
5.02,-0.34633055509579613,-0.7921173307061423,-1.3720898755354913,-0.264445,-0.550015,-7.8e-05,0.25557539526858397,1500,1067.3742294311523
5.22,-0.31846159367773674,-0.8175178702475909,-1.3374685418196652,-0.234445,-0.550017,-7.8e-05,0.2803845637627514,1500,1109.910488128662
5.42,-0.2702863112619169,-0.8378745712378125,-1.2724626715156084,-0.204445,-0.55002,-7.8e-05,0.2952885579415388,1500,1223.9973545074463
5.62,-0.22763476360786639,-0.8576718166430575,-1.2186564028351412,-0.174445,-0.550022,-7.8e-05,0.31221396610844876,1500,1242.3501014709473
5.82,-0.1837106714613578,-0.876671645667988,-1.165770518528935,-0.144445,-0.550024,-7.8e-05,0.3289992057372643,1500,1115.9577369689941
6.02,-0.1392621317538908,-0.8942587985555254,-1.1143474940621885,-0.114445,-0.550027,-7.8e-05,0.345125225338951,1500,1162.0142459869385
6.22,-0.09582022489591054,-0.9110830904368455,-1.0661503108349237,-0.084445,-0.550029,-7.8e-05,0.36123323762163745,1500,1144.594669342041
6.42,-0.0684457437750679,-0.9308572607808733,-1.0451732372048983,-0.054445,-0.550031,-7.8e-05,0.3810835364150448,1500,1082.9224586486816
6.62,-0.012317875163501558,-0.9427000401623782,-0.9844301463620462,-0.024445,-0.550034,-7.8e-05,0.3928532630049067,1500,1104.0349006652832
6.82,0.010850366324655008,-0.9540611545256545,-0.9053627282178461,-0.0023,-0.550032,0.047227,0.40424310735148955,1500,1072.5350379943848
7.02,-0.20139048308122987,-0.6774308959633915,-0.7195882198850436,-0.002338,-0.550023,0.209435,0.23633591130977463,1500,1084.5062732696533
7.22,-0.2266665165837933,-0.5720224760565223,-0.6982648161186684,0.01184,-0.546902,0.209452,0.23982576335798783,1500,1086.787462234497
7.42,-0.20334418502272023,-0.538840385169973,-0.6960401054017663,0.041187,-0.540665,0.209449,0.24453799227910125,1500,1136.962890625
7.62,-0.1551471202044407,-0.5315135454827791,-0.5317889922842778,0.047863,-0.539282,0.350255,0.20315870099753935,1500,1106.550931930542
7.82,-0.09194989452216394,-0.4390731360292977,-0.35593858330380035,0.047829,-0.539272,0.530376,0.17198241681886417,1500,1096.7116355895996
8.02,-0.050747063527291796,-0.4218909537332695,-0.2098558305248586,0.047813,-0.539261,0.692353,0.15326387011673118,1500,1102.5965213775635
8.22,-0.007587529012112944,-0.4267443650839409,-0.27753559784843135,0.07092,-0.520102,0.692328,0.12197983484456733,1500,1088.6340141296387
8.42,0.01674684746161094,-0.4362899963078998,-0.17828522531634441,0.078121,-0.514121,0.818104,0.09911837234098013,1500,1052.9968738555908
8.62,0.03662263843216159,-0.4433664615724999,-0.16888632749952961,0.090278,-0.500601,0.892354,0.07845183371970632,1500,1051.037311553955
8.82,0.048914073200184566,-0.44226736108193293,-0.15678146945625906,0.100531,-0.486178,0.964412,0.06776762754037041,1500,1050.0009059906006
9.02,0.2011954294532431,-0.3960089521669588,0.04035401019733419,0.100561,-0.485863,1.143257,0.1349112237857259,1500,1046.00191116333
9.22,0.3247055419953282,-0.32673047733364075,0.2558785712224256,0.10054,-0.485861,1.32314,0.274904917129774,1500,1049.9637126922607
9.42,0.41355751190008,-0.25638338274721206,0.3248861559844644,0.104355,-0.465829,1.384154,0.37346172488184176,1500,1065.995216369629
9.62,0.4993048001838374,-0.1892143420019246,0.3420064524172202,0.109924,-0.436344,1.384145,0.4611837761826094,1500,1061.0384941101074
9.82,0.5117626779947029,-0.15170369774975365,0.5105131030754964,0.110517,-0.432582,1.543191,0.48978639710021504,1500,1044.6999073028564
10.02,0.5218153761352882,-0.0941214264560448,0.5955257522944694,0.109596,-0.415424,1.624469,0.522647259466014,1500,1110.659122467041
10.22,0.5346974772452988,-0.033745625065441986,0.6133555522143624,0.107986,-0.385461,1.624451,0.5529795563836171,1500,1095.1850414276123
10.42,0.5439943770918237,-0.01117118699429868,0.5899933790730408,0.106377,-0.355504,1.624451,0.5568429355259404,1500,1050.417423248291
10.62,0.5604757841000035,-0.0026530840493911487,0.5664160844144331,0.104769,-0.325547,1.624451,0.558506180836601,1500,1126.873254776001
10.82,0.5827389243498824,-0.0045035278069924896,0.5530648854169701,0.10316,-0.29559,1.624451,0.5610055962059209,1500,1072.5548267364502
11.02,0.5860427474766653,0.01617355185767929,0.5868090613895071,0.101551,-0.265633,1.624451,0.5604883460366573,1500,1088.9627933502197
11.22,0.564285220254298,0.06146929009851776,0.6994586428574523,0.099942,-0.235676,1.624451,0.5512802822737847,1500,1169.555425643921
11.42,0.49203925882737765,0.116511853003299,0.9170093696567533,0.098333,-0.205719,1.624451,0.5087605928794837,1500,1155.1198959350586
11.62,0.3597833452809971,0.1678766488530838,1.184979863033036,0.097838,-0.187589,1.548129,0.4415554228281255,1500,1098.3545780181885
11.82,0.26022266997512533,0.22222099917050506,1.4244732594393543,0.098526,-0.157587,1.548141,0.4127952631934468,1500,1068.0322647094727
12.02,0.22800861420679325,0.2565905440397114,1.4874401652544347,0.099206,-0.127593,1.548143,0.40520008506590527,1500,1054.4183254241943
12.22,0.22137148393244432,0.27776984189036313,1.49389882379521,0.099885,-0.097601,1.548142,0.39454053621871105,1500,1048.7020015716553
