t,x_est,y_est,theta_est,x_gt,y_gt,theta_gt,error,n_particles
84,0.05080951052106625,-0.040548356728724706,-1.0635342660816103,-0.350957,-0.55,0.502357,0.6488122269255387,5000
85,0.031005615003652218,-0.02126489586999596,-3.0231153463615192,-0.350959,-0.55,0.53061,0.652271245306931,5000
86,0.03547421895838667,-0.03441008438909003,1.8738616834775819,-0.350961,-0.549999,0.558859,0.6443322965304862,5000
87,0.044843077761180364,-0.05242242797667431,-2.0792701198227443,-0.350963,-0.549998,0.587105,0.6358017781250925,5000
88,0.031690314754225256,-0.03735722064824214,-1.26640348654024,-0.350965,-0.549998,0.615348,0.639707478902688,5000
89,0.06001370176892387,-0.05145949478168404,-2.6259352659832875,-0.350967,-0.549997,0.643589,0.6460996682678142,5000
90,0.06474647482691623,-0.05028465014782086,-0.7430622822361097,-0.350968,-0.549996,0.671828,0.650023044015907,4342
91,0.0721572751957008,-0.040017038496271425,-1.2634513721238172,-0.350969,-0.549996,0.700065,0.6626570651078952,5000
92,0.039390711398399995,-0.05777239378823001,-1.9700842406743149,-0.35097,-0.549995,0.728301,0.6282233512608172,4012
93,0.033896191160537145,-0.02657545037262523,-2.8361069734966335,-0.350971,-0.549995,0.756537,0.6496851389434156,5000
94,0.04829217989385077,-0.02865973567468236,1.617617310731511,-0.350973,-0.549994,0.784771,0.6566598046441469,4888
95,0.05026650589762716,-0.031361909455561186,0.886287823947823,-0.350974,-0.549994,0.813005,0.655723408851231,5000
96,0.033361948264130525,-0.06339191245283674,-2.3471165479366873,-0.350975,-0.549994,0.841239,0.6200778027040172,5000
97,0.04194820365451249,-0.0400254936833058,-1.609979448637123,-0.350976,-0.549993,0.869472,0.643782795138547,3836
98,0.03642114966839256,-0.047214195464008984,-2.734623055605512,-0.350977,-0.549993,0.897704,0.6347155683116136,5000
99,0.010212166820193548,-0.06306040418201585,-2.3462568804591712,-0.350977,-0.549992,0.925936,0.6062672622153651,2486
100,0.019646143133334983,-0.08075954624045127,-2.2025098236023,-0.350978,-0.549992,0.954168,0.5979476157110468,4703
101,0.0372588703627959,-0.05519862763146999,3.062275011320761,-0.350979,-0.549992,0.9824,0.6289269634255331,5000
102,0.04545112937812876,-0.02580870354144195,3.0731354342473503,-0.35098,-0.549991,1.010632,0.6572097992730984,3582
