t,x_est,y_est,theta_est,x_gt,y_gt,theta_gt,error,n_particles
1,0.08253094312377263,-0.041574116817206956,-0.42127441380393127,-0.547518,-0.55,-8.2e-05,0.809603946026442,1128
2,0.19694848573470888,-0.22116537866308494,-0.4463141259111117,-0.544518,-0.55,-8.2e-05,0.8111132828758086,1000
3,0.3091103439697135,-0.42088227778043275,-0.4238375151382554,-0.541518,-0.550001,-8.2e-05,0.8603721427337538,1000
4,0.39924491723257555,-0.5554067998005517,-0.3970836966114048,-0.538518,-0.550001,-8.2e-05,0.9377784981582986,1000
5,0.47106023850815915,-0.6225795476320442,-0.34009484935524426,-0.535518,-0.550001,-8.2e-05,1.0091914564712514,1000
6,0.5057725894978808,-0.6476914594964344,-0.3161653186029639,-0.532518,-0.550001,-8.2e-05,1.042876202680108,1000
7,0.539080937658513,-0.6738443563726151,-0.29719913905245254,-0.529518,-0.550002,-8.2e-05,1.0757511881456718,1000
8,0.5588078201717471,-0.6861814947503537,-0.28664560229967767,-0.526518,-0.550002,-8.2e-05,1.0938359066706198,1000
9,0.5659380964990385,-0.6902651259096202,-0.2844626961106919,-0.523518,-0.550002,-8.2e-05,1.0984481465635327,1000
10,0.5806674413031429,-0.6981184499367094,-0.2767719888437791,-0.520518,-0.550002,-8.2e-05,1.111102092014884,1000
11,0.5904746279920307,-0.703062985876987,-0.2727070550855333,-0.517518,-0.550003,-8.2e-05,1.118514650311452,1000
12,0.5945553383166043,-0.7045661001078853,-0.2720556375639041,-0.514518,-0.550003,-8.2e-05,1.1197916867345004,1000
13,0.5974852209113385,-0.7053996167732849,-0.27208727284767736,-0.511518,-0.550003,-8.2e-05,1.1198376009477027,1043
14,0.600280261866159,-0.7061655818407985,-0.27217162853114935,-0.508518,-0.550003,-8.2e-05,1.1197411921888913,1000
15,0.6031252763753671,-0.7069622675576969,-0.272232436898271,-0.505518,-0.550004,-8.2e-05,1.1196989827659138,1000
16,0.6060242785229084,-0.7077710742133504,-0.2722561100178888,-0.502518,-0.550004,-8.2e-05,1.1197126564340525,1000
17,0.6095977145717821,-0.7089733217288994,-0.2719078094831984,-0.499518,-0.550004,-8.2e-05,1.1204503173104203,2370
18,0.6127065934275596,-0.7099147064256205,-0.2717509668954893,-0.496518,-0.550004,-8.2e-05,1.120692032939503,4784
19,0.6152405887921872,-0.7105314627384532,-0.27189506997114093,-0.493518,-0.550005,-8.2e-05,1.1203188624047007,2163
20,0.6174627564256396,-0.7109642144845799,-0.27226126983749777,-0.490518,-0.550005,-8.2e-05,1.1196111938244568,1000
21,0.6204933726096823,-0.711837921265195,-0.2721279271749342,-0.487518,-0.550005,-8.2e-05,1.119767429530623,1101
22,0.6232227662889582,-0.7125674782466227,-0.2721596227668258,-0.484518,-0.550005,-8.2e-05,1.1196053611126253,1000
23,0.6264140400198559,-0.7135483855313068,-0.2720400039125892,-0.481518,-0.550005,-8.2e-05,1.1199374287225161,1356
24,0.6298428679647431,-0.7146552671976347,-0.2717150029440997,-0.478518,-0.550006,-8.2e-05,1.1205236252860877,3427
25,0.6321259144568665,-0.7151478896844239,-0.27197819568228326,-0.475518,-0.550006,-8.2e-05,1.1198869965143237,1410
26,0.6346096649855184,-0.715742365610665,-0.27222393354381047,-0.472518,-0.550006,-8.2e-05,1.1194642510871522,1000
27,0.6380864978203866,-0.7169010172239119,-0.271822759320516,-0.469518,-0.550006,-8.2e-05,1.1201078833604023,2323
28,0.6410385643989683,-0.7177366929126514,-0.2717748005162374,-0.466518,-0.550007,-8.2e-05,1.1201851602426351,2584
29,0.6444244640233986,-0.7188086902808979,-0.27153096494284873,-0.463518,-0.550007,-8.2e-05,1.1207276717507817,5000
30,0.6472446349610632,-0.7195930463306256,-0.27151976591666965,-0.460518,-0.550007,-8.2e-05,1.1206683195869913,5000
31,0.6500869668924145,-0.7203823447658063,-0.2714996086546396,-0.457518,-0.550007,-8.2e-05,1.120632196926723,5000
32,0.6529553398056535,-0.7211821935270958,-0.27151558794388453,-0.454518,-0.550008,-8.2e-05,1.1206238454137678,5000
33,0.6558249014409429,-0.7219794940293776,-0.2714914480160568,-0.451518,-0.550008,-8.2e-05,1.120617015813316,5000
34,0.6587152178762901,-0.7227836870749008,-0.27150054336547186,-0.448518,-0.550008,-8.2e-05,1.1206323379292997,5000
35,0.6615786629925766,-0.7235810634957489,-0.27149388899718235,-0.445518,-0.550008,-8.2e-05,1.1206206448127745,5000
36,0.6644545793014295,-0.7243839767234758,-0.27148110916060025,-0.442518,-0.550009,-8.2e-05,1.1206225608261564,5000
37,0.6673623007023536,-0.7251964469164717,-0.27153215593981417,-0.439518,-0.550009,-8.2e-05,1.120658128797558,5000
38,0.6701875572310484,-0.7259792477988651,-0.2715173022753413,-0.436518,-0.550009,-8.2e-05,1.1206081913481087,5000
39,0.6730757685793344,-0.7267794583126622,-0.27146818017262603,-0.433518,-0.550009,-8.2e-05,1.1206237386342848,5000
40,0.6759062119918957,-0.7275687266446254,-0.2714782414966332,-0.430518,-0.55001,-8.2e-05,1.1205809378574794,5000
41,0.6787328605834175,-0.7283549433721109,-0.2714850728505067,-0.427518,-0.55001,-8.2e-05,1.1205346426451765,5000
42,0.6815700144745813,-0.7291474678718672,-0.27152185564784465,-0.424518,-0.55001,-8.2e-05,1.1205003026148033,5000
43,0.6844335045314204,-0.729940194217639,-0.2714740357339583,-0.421518,-0.55001,-8.2e-05,1.1204925725619557,5000
44,0.6872664621637142,-0.7307298610015357,-0.2714803587964779,-0.418518,-0.550011,-8.2e-05,1.1204546324971785,5000
45,0.6901303302012894,-0.7315257962985383,-0.2714816642376263,-0.415518,-0.550011,-8.2e-05,1.1204489508015076,5000
46,0.6930047317717484,-0.7323253597078965,-0.2714765519370177,-0.412518,-0.550011,-8.2e-05,1.120454834529161,5000
47,0.6959022123647934,-0.733134300069421,-0.2714852505778734,-0.409518,-0.550011,-8.2e-05,1.120485604072154,5000
48,0.6987868820992938,-0.7339402972311511,-0.27148152509956575,-0.406518,-0.550012,-8.2e-05,1.1205036817944352,5000
49,0.7016516226463232,-0.7347345827094811,-0.27146891496625297,-0.403518,-0.550012,-8.2e-05,1.1205009269889417,5000
50,0.7045018496043354,-0.7355295401283748,-0.2714885171596814,-0.400518,-0.550012,-8.2e-05,1.1204845495208182,5000
51,0.7073841444090463,-0.7363318396924892,-0.27147573773235745,-0.397518,-0.550012,-8.2e-05,1.1205015981169968,5000
52,0.710205360625461,-0.7371144701952455,-0.27148251674737023,-0.394518,-0.550013,-8.2e-05,1.1204555607701872,5000
53,0.7131404151093473,-0.7379290747521642,-0.27145426320026317,-0.391518,-0.550013,-8.2e-05,1.1205278511586207,5000
54,0.7159147698584222,-0.7387020569980624,-0.27147103697401487,-0.388518,-0.550013,-8.2e-05,1.1204353186900013,5000
55,0.7186877120263796,-0.739472552260197,-0.27146829719648663,-0.385518,-0.550013,-8.2e-05,1.12034154453645,5000
56,0.7214838780132137,-0.7402515066192148,-0.2714811277086899,-0.382518,-0.550014,-8.2e-05,1.1202724916650406,5000
57,0.7242132395352885,-0.741013441570824,-0.27149822154604647,-0.379518,-0.550014,-8.2e-05,1.1201354542226003,5000
58,0.7270842178014526,-0.7418137421201544,-0.2715019086590956,-0.376518,-0.550014,-8.2e-05,1.1201450781990887,5000
59,0.7299503959956257,-0.7426063735415929,-0.27141557447304737,-0.373518,-0.550014,-8.2e-05,1.1201492415332628,5000
60,0.7328186943726588,-0.7434074440303187,-0.27144699509553744,-0.370518,-0.550015,-8.2e-05,1.1201573543735746,5000
61,0.7356232579955546,-0.7441876593137143,-0.2714424037423097,-0.367518,-0.550015,-8.2e-05,1.120099842298433,5000
62,0.7385602816095411,-0.7450032065880725,-0.2714108188059669,-0.364518,-0.550015,-8.2e-05,1.1201794927899238,5000
63,0.741304781623796,-0.7457582766357698,-0.2713311124387893,-0.361518,-0.550015,-8.2e-05,1.120059604671356,5000
64,0.7441665825219698,-0.7465557892874697,-0.27134802499753596,-0.358518,-0.550016,-8.2e-05,1.1200630238092917,5000
65,0.7470045158954463,-0.7473411614158274,-0.2713190134982509,-0.355518,-0.550016,-8.2e-05,1.1200415694893682,5000
66,0.74987777639339,-0.7481350548307721,-0.2712809084862341,-0.352518,-0.550016,-8.2e-05,1.120056966273155,5000
67,0.7510921777116122,-0.7484704472244282,-0.2546317529422913,-0.351192,-0.550015,0.016565,1.1200066843400591,5000
68,0.7513169265972042,-0.7485354073206725,-0.223221970860396,-0.350925,-0.55001,0.047966,1.1199775007117576,5000
69,0.7495443094971387,-0.7480060545533435,-0.19385680383850362,-0.350833,-0.550012,0.077369,1.1180482408620096,5000
70,0.7470959721770547,-0.747506592163248,-0.1653221192906878,-0.350827,-0.550011,0.105781,1.1155444239285182,5000
71,0.4470081334185411,-0.6333092868570267,-0.16031258291484962,-0.350844,-0.55001,0.134165,0.8021887545904685,1000
72,0.317327509285405,-0.5814332633687723,-0.19879446939205922,-0.350862,-0.55001,0.162573,0.6689279795312897,1000
73,0.26775593980980295,-0.5507144125367525,-0.2135850981992412,-0.350878,-0.550009,0.190971,0.6186343419916533,1000
74,0.2849584041402884,-0.5431819880822927,-0.19753912160019932,-0.350892,-0.550008,0.219352,0.6358870425508517,1000
75,0.2780036973005538,-0.5281024523620411,-0.17802658953057354,-0.350905,-0.550007,0.247714,0.6292900434199664,1000
76,0.26393925433080234,-0.5097188231377282,-0.18396545614041895,-0.350915,-0.550006,0.276058,0.6161727117361,1000
77,0.26180971313308865,-0.4864879177942407,-0.2160993026066126,-0.350924,-0.550005,0.304386,0.6160170638397896,1000
78,0.2589168774150179,-0.46902457445648676,-0.2164154377419719,-0.350931,-0.550005,0.332699,0.6152009939107796,1000
79,0.2684384716115537,-0.4550422331465677,-0.2745531405003902,-0.350937,-0.550004,0.360998,0.6266128884709923,1000
80,0.29197252314386773,-0.44002614697377435,-0.31964381857569557,-0.350943,-0.550003,0.389287,0.6522539981486546,1000
81,0.31062397068126113,-0.4170242820980656,-0.38762214565355213,-0.350947,-0.550002,0.417565,0.6748030992123203,1000
82,0.30486950036177174,-0.41029326859707627,-0.36281319113897886,-0.350951,-0.550002,0.445836,0.6705363959733871,1000
83,0.32661202091364594,-0.4378373728062144,-0.37971798525228384,-0.350954,-0.550001,0.474099,0.6867870062559555,1000
84,0.33470494677528667,-0.41692259248630603,-0.41226385202416477,-0.350957,-0.55,0.502357,0.6984568001288568,1000
85,0.3340273293231425,-0.40769238600879815,-0.40234779408961746,-0.350959,-0.55,0.53061,0.6996125558903739,1019
86,0.34213154574512233,-0.37087630420400897,-0.43908150233696697,-0.350961,-0.549999,0.558859,0.7158646639670642,1000
87,0.37894635822972705,-0.3774672851089558,-0.44985349185744844,-0.350963,-0.549998,0.587105,0.7500230121883907,1000
88,0.3823980374946731,-0.3856643896996331,-0.4428560190093107,-0.350965,-0.549998,0.615348,0.7515496525431744,1000
89,0.402354158125641,-0.3930625298580766,-0.4693390085053863,-0.350967,-0.549997,0.643589,0.7694941164157678,1000
90,0.4041765932462191,-0.3983608748203514,-0.4722298073534185,-0.350968,-0.549996,0.671828,0.7702185195756106,1000
91,0.4006995256892998,-0.3860156761761433,-0.4710889252357102,-0.350969,-0.549996,0.700065,0.7693472032270621,1000
92,0.4176803919896047,-0.39882423773249887,-0.45954780235527276,-0.35097,-0.549995,0.728301,0.7833747662966368,1000
93,0.4229308668651831,-0.3610906920667754,-0.47146463155472595,-0.350971,-0.549995,0.756537,0.7966234600444216,1000
94,0.43495273400258777,-0.33796578845702197,-0.5005423505001535,-0.350973,-0.549994,0.784771,0.8140240916936182,1000
95,0.4312047886403847,-0.3368673063247157,-0.4943588106551809,-0.350974,-0.549994,0.813005,0.8106951615471121,1000
96,0.4538012127765849,-0.33678297489193243,-0.49986996771475417,-0.350975,-0.549994,0.841239,0.8325405058486081,1000
97,0.44149901825455895,-0.36032967304162383,-0.5599703090593251,-0.350976,-0.549993,0.869472,0.8148550988675738,1000
98,0.44437062787728915,-0.33413950487345184,-0.5600031336785332,-0.350977,-0.549993,0.897704,0.8241180622510208,1000
99,0.44217146929855383,-0.3617451767962864,-0.5993322479358383,-0.350977,-0.549992,0.925936,0.8151817961638551,1000
100,0.4327920500553438,-0.31671518419483025,-0.5789586470452898,-0.350978,-0.549992,0.954168,0.8177490838612754,1000
101,0.4286553275928439,-0.29071747413085,-0.5721998133591106,-0.350979,-0.549992,0.9824,0.8216160688094035,1000
102,0.4497459425393148,-0.3223735379880343,-0.5975478953492959,-0.35098,-0.549991,1.010632,0.8324492441393906,1000
103,0.45528949877606073,-0.2942214688721697,-0.6120556028686053,-0.350981,-0.549991,1.038864,0.8458665203505503,1000
104,0.42929891476100773,-0.2903801113557341,-0.6333129422099403,-0.350982,-0.549991,1.067095,0.8223357704994599,1000
105,0.43182599812950234,-0.27204745667064706,-0.6098653325970981,-0.350983,-0.549991,1.095327,0.830687992468286,1000
106,0.42569250112290197,-0.23525597909871027,-0.621204723632296,-0.350984,-0.549991,1.123558,0.8380241767265718,1000
107,0.4205347787343972,-0.26501010016436627,-0.6639871709002819,-0.350985,-0.54999,1.15179,0.8224696421684518,1000
108,0.4486291067270924,-0.2339777906533408,-0.6087902022932734,-0.350986,-0.54999,1.180021,0.8597953450457476,1000
109,0.4545309370158453,-0.19676991439930422,-0.5642207481849543,-0.350987,-0.54999,1.208252,0.8795587392130364,1000
110,0.43552606914320524,-0.2019343440616869,-0.5998514405560368,-0.350988,-0.54999,1.236484,0.8600855309740143,1000
111,0.4494949161914542,-0.17456352054394372,-0.5864406245072503,-0.350989,-0.54999,1.264715,0.8841490494017259,1000
112,0.42907598287987836,-0.20082215250496702,-0.6210877826492326,-0.350989,-0.54999,1.292946,0.8546458700770159,1000
113,0.40669353605902836,-0.18676597038011672,-0.6578499926282205,-0.35099,-0.54999,1.321177,0.8402476042859146,1000
114,0.4093932787238798,-0.1814012757503436,-0.710776252589765,-0.350991,-0.54999,1.349408,0.8450099993339867,1000
115,0.40442122528345226,-0.17777422770821513,-0.6935681772793175,-0.350992,-0.54999,1.377639,0.8421364034857521,1000
116,0.3814609483005777,-0.13993308283663852,-0.6347989721559479,-0.350993,-0.54999,1.40587,0.8394256737166342,1000
117,0.3836167713487339,-0.12639819235684535,-0.6559988293665854,-0.350447,-0.547946,1.416388,0.8464940487300997,1000
118,0.3757757922001631,-0.12458769558107399,-0.6916937446041628,-0.349984,-0.544973,1.416375,0.838719905657316,1000
119,0.397748923806538,-0.14637920244884944,-0.7556879368944444,-0.349521,-0.542002,1.416358,0.8455351778418375,1000
120,0.3976392318249808,-0.1571468965541846,-0.7815553201804197,-0.349058,-0.539031,1.416344,0.838684818319554,1000
121,0.40053292161068443,-0.16531050416698898,-0.8049216787811817,-0.348595,-0.536061,1.416332,0.8358520043028953,1000
122,0.40035722237051663,-0.2092632291849877,-0.9043664492534949,-0.348132,-0.533093,1.416321,0.8155377590712304,1000
123,0.3993276934290374,-0.23961421205983838,-0.9666932306348596,-0.34767,-0.530125,1.416311,0.8014998888945124,1000
124,0.4079201145844344,-0.2456433042063548,-0.9741987399835943,-0.347208,-0.527157,1.416303,0.8058960419031971,1000
125,0.40857165602570467,-0.2715108555691563,-1.0215146687725127,-0.346746,-0.524191,1.416296,0.7964621879874504,1000
126,0.42324361173395364,-0.2748085250149675,-1.0081561283412857,-0.346284,-0.521224,1.416292,0.8080181504972903,1000
127,0.43241513764677225,-0.2595081668574899,-0.9717518352968578,-0.345822,-0.518258,1.416288,0.8201246969601135,1000
128,0.4271274136331072,-0.22178408900826493,-0.9087844377802594,-0.345361,-0.515293,1.416284,0.8263690640560963,1000
129,0.43437869268237994,-0.2538409106620731,-0.9618092323020495,-0.344899,-0.512328,1.416281,0.8210294133992808,1000
130,0.4430977699541912,-0.2843061357917227,-1.0095177452544928,-0.344438,-0.509363,1.416278,0.8190623792389709,1000
131,0.4354841313735137,-0.3004729917817542,-1.0442096459787935,-0.343976,-0.506398,1.416275,0.8062029554712014,1000
132,0.4313750137909522,-0.3033877486336158,-1.0574220520646695,-0.343515,-0.503433,1.416273,0.8002953430247999,1000
133,0.4341076493303377,-0.3138889450060935,-1.0725787180498552,-0.343053,-0.500468,1.41627,0.7992436541067882,1000
134,0.44113718392886925,-0.3333682523620026,-1.0962574666263638,-0.342591,-0.497504,1.416268,0.8007311720778253,1000
135,0.4456051523792509,-0.34723170185379376,-1.1106513903147057,-0.34213,-0.494539,1.416266,0.8013901112324116,1000
136,0.4418523976625252,-0.369124278563663,-1.1518648270169334,-0.341668,-0.491575,1.416265,0.7930311423478407,1000
137,0.43670341978176697,-0.4089900980176153,-1.2093249510857655,-0.341206,-0.488611,1.416264,0.7819734991786447,1000
138,0.4368269992497636,-0.44049005648568,-1.2450583564034585,-0.340745,-0.485646,1.416263,0.7788820663309323,1000
139,0.434304379220734,-0.4690933434974538,-1.2783697462135855,-0.340283,-0.482682,1.416263,0.7747065635668704,1000
140,0.4352035437071545,-0.47083594266684736,-1.279039061274326,-0.339821,-0.479718,1.416262,0.7750754378065097,1000
141,0.43292181150754,-0.4843352676423232,-1.2945630144750135,-0.339359,-0.476753,1.416262,0.7723180320343067,1000
142,0.42687390848465634,-0.5068501385105287,-1.3216726932753529,-0.338897,-0.473789,1.416262,0.7664842615220668,1000
143,0.4250756595812317,-0.5182149151972363,-1.334708918811166,-0.338436,-0.470825,1.416262,0.7649809529516979,1000
144,0.42045989427729447,-0.5408296831905023,-1.3594097883045544,-0.337974,-0.46786,1.416262,0.7619360515512733,1000
145,0.416018576272936,-0.5637377798487454,-1.382149665244438,-0.337512,-0.464896,1.416262,0.7599855438242827,1000
146,0.41452360730483284,-0.5736562954118645,-1.3909659953744045,-0.33705,-0.461932,1.416262,0.7598323534717885,1000
147,0.4143652864922087,-0.5783924455876223,-1.3933241090210182,-0.336588,-0.458968,1.416262,0.7603900556276103,1000
148,0.41419195053576924,-0.5840321696270443,-1.3957410952649285,-0.336127,-0.456003,1.416262,0.7611635801905453,1000
149,0.4147468560519028,-0.5875239390761563,-1.3958392596027152,-0.335665,-0.453039,1.416262,0.7623674655581646,1000
150,0.41721665379505246,-0.5846477417823598,-1.3885374604339136,-0.335203,-0.450075,1.416261,0.7643593122660888,1000
151,0.41585616251709046,-0.59447688054764,-1.3960087760108613,-0.334741,-0.447111,1.416261,0.7649266651962714,1000
152,0.416692031399513,-0.5956199235147408,-1.3943081280632272,-0.33428,-0.444146,1.416261,0.7660961698437478,1000
153,0.41737186550107214,-0.5982123174791012,-1.3935316524479018,-0.333818,-0.441182,1.416261,0.7674273481177917,1000
154,0.41653815272482403,-0.6054011923620184,-1.3980114932991459,-0.333356,-0.438218,1.416261,0.7683042757262498,1000
155,0.41711538097327094,-0.6087519253921662,-1.3977616127004295,-0.332894,-0.435254,1.416261,0.7698153036042442,1000
156,0.41747414940616595,-0.6122624037956657,-1.397844804898159,-0.332433,-0.432289,1.416261,0.7712011143691894,1000
157,0.41701566942550844,-0.6191182127828728,-1.400899928742467,-0.331971,-0.429325,1.416261,0.7726593651768939,1000
158,0.41732171226493686,-0.6239775118989925,-1.4019399122920535,-0.331509,-0.426361,1.416261,0.7744673791750931,1000
159,0.4185675854249582,-0.6250118639887395,-1.3994021968731454,-0.331047,-0.423397,1.416261,0.7762541980968797,1000
160,0.4194386586033034,-0.6269459170410666,-1.3981790785978252,-0.330585,-0.420432,1.416261,0.7779353998863461,1000
161,0.41996232911938935,-0.6292232996790745,-1.397893560035115,-0.330124,-0.417468,1.416261,0.7794034950357713,1000
