timestamp,x_est,y_est,theta_est,x_gt,y_gt,theta_gt,error,n_particles,update_time_ms
0.22,-0.34548244102169295,-0.5056121708221795,-0.09152443451615411,-0.4588,-0.55,0.0,0.12170106224647949,1500,409.00230407714844
0.42,-0.28071408420719735,-0.5137263860642947,-0.23097014624284565,-0.4588,-0.55,0.0,0.1817425884918496,1500,1237.0002269744873
0.62,-0.2451919532758228,-0.5280151687783661,-0.43838286972406404,-0.4588,-0.55,0.0,0.2147364208260024,1500,1211.9996547698975
0.82,-0.23226783147064844,-0.5371795379938533,-0.6750194915706575,-0.4588,-0.55,0.0,0.22689466195717692,1500,1210.5824947357178
1.02,-0.2410420936174278,-0.5395479360561477,-0.871880820201797,-0.4588,-0.55,0.0,0.21800860403389463,1500,1179.8920631408691
1.22,-0.26703523285218206,-0.5374163856750271,-1.0292238488460852,-0.4588,-0.55,0.0,0.192177192373956,1500,1223.6096858978271
1.42,-0.29492371280332974,-0.5328526972284087,-1.1689226621722053,-0.4588,-0.55,0.0,0.16477095465435093,1500,1238.574504852295
1.62,-0.32141232182664303,-0.5298707083737952,-1.2502220261422181,-0.4588,-0.55,0.0,0.1388544651613289,1500,1273.482084274292
1.82,-0.3382023767886242,-0.528142041162767,-1.2953127413864616,-0.4588,-0.55,0.0,0.12256246198882895,1500,1247.530460357666
2.02,-0.34923331688349263,-0.5277759153260875,-1.3241521636690112,-0.4588,-0.55,0.0,0.1117978890173977,1500,1397.4428176879883
2.22,-0.3636292285579413,-0.5263517655270401,-1.3486856588920024,-0.4588,-0.55,0.0,0.09806484961781499,1500,1259.1793537139893
2.42,-0.36939530932934633,-0.5266709418785503,-1.3633572308980966,-0.4588,-0.55,0.0,0.09239828822412914,1500,1235.1510524749756
2.62,-0.37383755036630884,-0.5269968219809232,-1.3727432689768693,-0.4588,-0.55,0.0,0.08802138403101172,1500,1242.3267364501953
2.82,-0.3759175406341047,-0.5274794502811729,-1.377203622623628,-0.4588,-0.55,0.0,0.08588758484308105,1500,1261.2617015838623
3.02,-0.37680561643573174,-0.5277350114019014,-1.3800001336645653,-0.4588,-0.55,0.0,0.0849635725082097,1500,1278.8009643554688
3.22,-0.3768321692845347,-0.5282803336182947,-1.3799626282165791,-0.4588,-0.55,0.0,0.08479663424884121,1500,1214.968204498291
3.42,-0.37657769329256086,-0.5427158327154415,-1.3838452573330258,-0.444378,-0.550001,-7.6e-05,0.0681905803757881,1500,1258.4712505340576
3.62,-0.37131226152030217,-0.5719121285568243,-1.385168773007023,-0.414377,-0.550003,-7.6e-05,0.04831750836336885,1500,1251.9140243530273
3.82,-0.3664205772325481,-0.5954340730835344,-1.384884841895087,-0.389867,-0.550005,-3e-06,0.051122748574574856,1500,1262.8893852233887
