t,x_est,y_est,theta_est,x_gt,y_gt,theta_gt,error,n_particles
1,0.03939552548878964,-0.028115541894722887,-2.5717583467731213,-0.547518,-0.55,-8.2e-05,0.7853858122053892,1500
2,0.07539964575925424,-0.012353835227059507,-2.1019837172280167,-0.544518,-0.55,-8.2e-05,0.8205859406660269,1500
3,0.12540451682603962,-0.05426303124124181,-0.3031835017427637,-0.541518,-0.550001,-8.2e-05,0.8309884338055726,1500
4,0.22981627361784038,-0.16159498182602897,-0.023926017052033788,-0.538518,-0.550001,-8.2e-05,0.8609278662986892,1500
5,0.3120462952612422,-0.2715577281928758,0.014366668758762802,-0.535518,-0.550001,-8.2e-05,0.8921299738358432,1500
6,0.3830431305310004,-0.3654129026439948,0.0556676436803215,-0.532518,-0.550001,-8.2e-05,0.93398337748844,1500
7,0.42852630057866775,-0.43143257065590057,0.053650782598255425,-0.529518,-0.550002,-8.2e-05,0.9653536095370723,1500
8,0.4482433395701749,-0.46760872835921485,0.0437182248106917,-0.526518,-0.550002,-8.2e-05,0.9782373537809288,1500
9,0.46652565671487006,-0.4921201733952235,0.04156285004215432,-0.523518,-0.550002,-8.2e-05,0.9917342124039368,1500
10,0.4826351058109676,-0.5123898648589811,0.04351027443235441,-0.520518,-0.550002,-8.2e-05,1.0038579712330111,1500
11,0.48883983797373376,-0.5173786366873144,0.043348733933216185,-0.517518,-0.550003,-8.2e-05,1.0068865115457284,1500
12,0.49437911865686945,-0.5219055987100308,0.04261618520618182,-0.514518,-0.550003,-8.2e-05,1.009288293795872,1500
13,0.4968142691393354,-0.5213219473171365,0.041949411229910215,-0.511518,-0.550003,-8.2e-05,1.008740089304811,1500
14,0.5013319173977425,-0.5233261146186838,0.04204050267507173,-0.508518,-0.550003,-8.2e-05,1.010202213362194,1500
15,0.5049863404375551,-0.5236495622183692,0.0426496646197048,-0.505518,-0.550004,-8.2e-05,1.0108479502051355,5000
16,0.5079575851931144,-0.5235228735763563,0.04262677910702884,-0.502518,-0.550004,-8.2e-05,1.0108225157405388,5000
17,0.5109540105920347,-0.5233959937620652,0.04261570735452376,-0.499518,-0.550004,-8.2e-05,1.0108222742826096,5000
18,0.5139402645480649,-0.523267622100792,0.042637159216657346,-0.496518,-0.550004,-8.2e-05,1.0108119203376345,5000
19,0.5170009152202375,-0.5231378505340133,0.04263115051177052,-0.493518,-0.550005,-8.2e-05,1.010876016996305,5000
20,0.5200301642343325,-0.5230073506260463,0.04264841750998564,-0.490518,-0.550005,-8.2e-05,1.0109087324329027,5000
21,0.5230391998079387,-0.5228787441487837,0.04265274860634187,-0.487518,-0.550005,-8.2e-05,1.0109212075330933,5000
22,0.5260530269959338,-0.5227492086560158,0.042678056586625344,-0.484518,-0.550005,-8.2e-05,1.0109385138401856,5000
23,0.5290873123984993,-0.5226195046724829,0.04267471659751765,-0.481518,-0.550005,-8.2e-05,1.0109762919091634,5000
24,0.5321000735495599,-0.5224907040277598,0.04267330288144666,-0.478518,-0.550006,-8.2e-05,1.0109925727212161,5000
25,0.5350883867549071,-0.522361727092446,0.04268707791109055,-0.475518,-0.550006,-8.2e-05,1.0109844087691937,5000
26,0.5381346028643678,-0.5222324785193152,0.042684473542042335,-0.472518,-0.550006,-8.2e-05,1.0110341498544742,5000
27,0.5410745907905935,-0.5221056007689235,0.04269277549182958,-0.469518,-0.550006,-8.2e-05,1.0109776539756443,5000
28,0.5440643090767731,-0.5219767651483106,0.042717125258171035,-0.466518,-0.550007,-8.2e-05,1.010970967676512,5000
29,0.5471421951770987,-0.5218459230387608,0.04271948089627904,-0.463518,-0.550007,-8.2e-05,1.0110524597522266,5000
30,0.5501916841681814,-0.521713461521432,0.04275929052505161,-0.460518,-0.550007,-8.2e-05,1.0111056275142492,5000
31,0.553197478693426,-0.5215860355018536,0.04273362454998164,-0.457518,-0.550007,-8.2e-05,1.0111149935064192,5000
32,0.5561796998227749,-0.5214587780933089,0.04275219020855574,-0.454518,-0.550008,-8.2e-05,1.011100834980629,5000
33,0.5591888255096754,-0.5213294081890925,0.04277253030481462,-0.451518,-0.550008,-8.2e-05,1.0111136181261244,5000
34,0.5621778202643414,-0.521200613536404,0.04277680861276519,-0.448518,-0.550008,-8.2e-05,1.0111062785952192,5000
35,0.5651252334814503,-0.521073698051265,0.04276666144895201,-0.445518,-0.550008,-8.2e-05,1.0110573372519986,5000
36,0.568103999126188,-0.5209456905637556,0.04278612377556939,-0.442518,-0.550009,-8.2e-05,1.0110398118141537,5000
