timestamp,x_est,y_est,theta_est,x_gt,y_gt,theta_gt,error,n_particles,update_time_ms
0.22,-0.3578433598656894,-0.49588897763093426,-0.12850829459373525,-0.4588,-0.55,0.0,0.1145436420279809,1000,391.0331726074219
0.42,-0.2901171505692408,-0.5033341969070445,-0.23724342198993123,-0.4588,-0.55,0.0,0.17501885861355246,1000,781.6023826599121
0.62,-0.24311040267668388,-0.5194465417195963,-0.2904597485268022,-0.4588,-0.55,0.0,0.2178428704511273,1000,782.8629016876221
0.82,-0.19584905591468202,-0.5397010402090582,-0.3522173906634219,-0.4588,-0.55,0.0,0.26315255569371815,1000,781.7192077636719
1.02,-0.15737389009486488,-0.5494582812335518,-0.3959549587657075,-0.4588,-0.55,0.0,0.30142659668941707,1000,746.0026741027832
1.22,-0.12977453609665487,-0.5574814724843494,-0.4376499795199258,-0.4588,-0.55,0.0,0.3291105108126228,1000,787.7292633056641
1.42,-0.11120652005815743,-0.5642380440249097,-0.4667867501487965,-0.4588,-0.55,0.0,0.34788496546377995,1000,737.7500534057617
1.62,-0.10113243835467055,-0.5673112875360364,-0.4730478852380938,-0.4588,-0.55,0.0,0.3580862540359108,1000,764.7266387939453
1.82,-0.09284275480679029,-0.5720671573247037,-0.46471976038397583,-0.4588,-0.55,0.0,0.3666219643471954,1000,727.940559387207
2.02,-0.08145376198410577,-0.571815206961124,-0.47787402865227785,-0.4588,-0.55,0.0,0.37797630428309203,1000,718.6994552612305
2.22,-0.08126391805389425,-0.5692362056675292,-0.4907167675920637,-0.4588,-0.55,0.0,0.3780258255459541,1000,742.1512603759766
2.42,-0.07011822387307994,-0.566741803663106,-0.5044831437068688,-0.4588,-0.55,0.0,0.38904217134273655,1000,737.0095252990723
2.62,-0.06200295344617893,-0.5643972808307409,-0.5182889318065266,-0.4588,-0.55,0.0,0.39705815424085483,1000,725.9969711303711
2.82,-0.05974212154930559,-0.5637783335499726,-0.5543434478180796,-0.4588,-0.55,0.0,0.399295670936943,1000,727.001428604126
3.02,-0.05592573388535592,-0.5623742120086589,-0.5770919946072216,-0.4588,-0.55,0.0,0.4030642571851891,1000,724.9619960784912
3.22,-0.05581342260678985,-0.5620978044187203,-0.5835419263906677,-0.4588,-0.55,0.0,0.4031681267546423,1000,773.7345695495605
3.42,-0.037711403701005536,-0.5653193617202891,-0.6118535169512812,-0.444378,-0.550001,-7.6e-05,0.4069550008922399,1000,742.0024871826172
3.62,-0.011569879136278055,-0.5817174332301895,-0.6408689787379357,-0.414377,-0.550003,-7.6e-05,0.4040536868952358,1000,746.3152408599854
3.82,0.009242724110743172,-0.5954179792784973,-0.6827495059957733,-0.389867,-0.550005,-3e-06,0.4016850888030358,1000,742.694616317749
4.02,0.007104080811912061,-0.5943519163629655,-0.7058717669801465,-0.389868,-0.550005,-3e-06,0.39944146246357937,1000,749.9957084655762
4.22,0.019239858199934044,-0.5956767632540836,-0.7139033421440492,-0.384446,-0.550005,-7.8e-05,0.40626122393031106,1000,743.0000305175781
4.42,0.04880993368519256,-0.6160757062633986,-0.7120032732643193,-0.354445,-0.550008,-7.8e-05,0.40863123149406455,1000,762.5300884246826
4.62,0.07062202724793093,-0.6355929801772782,-0.7111161222123531,-0.324445,-0.55001,-7.8e-05,0.40423063035171125,1000,779.5271873474121
4.82,0.10249326302716484,-0.6485600854997479,-0.6824328398828842,-0.294445,-0.550013,-7.8e-05,0.4089884016882598,1000,769.5074081420898
5.02,0.14856184656040977,-0.6566778808949955,-0.6200157251777819,-0.264445,-0.550015,-7.8e-05,0.42655788055854016,1000,802.6998043060303
