timestamp,gt_x,gt_y,est_x,est_y,position_error_m,max_belief
0.02,-0.4588,-0.55,-0.4750000000000001,-0.21500000000000008,0.33539147275981834,0.0003893913679198998
0.34,-0.4588,-0.55,-0.45500000000000007,-0.21500000000000008,0.33502155154556845,0.0008082011974262517
0.66,-0.4588,-0.55,-0.42500000000000004,0.5049999999999999,1.055541301892067,0.0013837427442625224
0.98,-0.4588,-0.55,-0.42500000000000004,0.5150000000000001,1.0655362218151012,0.002315074367552419
1.3,-0.4588,-0.55,-0.42500000000000004,0.5150000000000001,1.0655362218151012,0.003140281928209317
1.62,-0.4588,-0.55,-0.42500000000000004,0.5249999999999999,1.0755312361805212,0.0038755699301372287
1.94,-0.4588,-0.55,-0.42500000000000004,0.5249999999999999,1.0755312361805212,0.004556357587454761
2.26,-0.4588,-0.55,-0.42500000000000004,0.5249999999999999,1.0755312361805212,0.00519162500063035
2.58,-0.4588,-0.55,-0.42500000000000004,0.5249999999999999,1.0755312361805212,0.005805701238202347
2.9,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.006418749632054731
3.22,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.007028809404111196
3.54,-0.426377,-0.550002,-0.395,0.5350000000000001,1.0854555984161676,0.00763844592032579
3.86,-0.389867,-0.550005,-0.355,0.5350000000000001,1.0855650868160787,0.00823051046778718
4.18,-0.389868,-0.550005,-0.355,0.5350000000000001,1.0855651189352946,0.008820411455785993
4.5,-0.342445,-0.550009,-0.30499999999999994,0.5350000000000001,1.085654944310576,0.009417578254714497
4.82,-0.294445,-0.550013,-0.2549999999999999,0.5350000000000001,1.085729762967747,0.009994791193547233
5.14,-0.246445,-0.550016,-0.20500000000000007,0.5350000000000001,1.085807261110829,0.0105975547545098
5.46,-0.198445,-0.55002,-0.15500000000000003,0.5350000000000001,1.0858894365565033,0.011198975927142954
5.78,-0.150445,-0.550024,-0.10499999999999998,0.5350000000000001,1.085975289130006,0.011775198863457813
6.1,-0.102445,-0.550028,-0.05499999999999994,0.5350000000000001,1.086064817959315,0.01232698540355801
6.42,-0.054445,-0.550031,-0.004999999999999893,0.5350000000000001,1.0861570231720645,0.012905471248935442
6.74,-0.006445,-0.550035,0.04499999999999993,0.5350000000000001,1.0862539018341892,0.01346003709302118
7.06,-0.002331,-0.550022,0.03500000000000014,0.5350000000000001,1.0856640106612176,0.014134617978100743
7.38,0.035318,-0.541912,0.07499999999999996,0.5449999999999999,1.0876361325682407,0.014589610202820288
7.7,0.047847,-0.539278,0.09499999999999997,0.5449999999999999,1.0853028087556946,0.01724548932474363
8.02,0.047813,-0.539261,0.09499999999999997,0.5350000000000001,1.0752968469636652,0.010045672890759064
8.34,0.078133,-0.514118,-0.44500000000000006,0.14500000000000002,0.8414895564491577,0.001250642682564371
8.66,0.090273,-0.500603,-0.44500000000000006,0.10499999999999998,0.80825254601393,0.001870996296897719
8.98,0.100565,-0.485862,-0.42500000000000004,0.05499999999999994,0.7541553369624855,0.002191100787983327
9.3,0.101015,-0.483533,-0.41500000000000004,-0.004999999999999893,0.7037508879667578,0.002143543357683665
9.62,0.109924,-0.436344,-0.385,-0.014999999999999902,0.6499850245290272,0.001689365116785359
9.94,0.110244,-0.427417,-0.17500000000000004,-0.11499999999999999,0.4230467130530623,0.001266289628200842
10.26,0.107664,-0.379469,-0.10499999999999998,-0.395,0.2132303657010417,0.001660741341976922
10.58,0.10509,-0.331538,-0.08499999999999996,-0.355,0.19153243470493447,0.00259243296733242
10.9,0.102516,-0.283607,-0.06499999999999995,-0.31499999999999995,0.17043218799569515,0.0033217538197644497
11.22,0.099942,-0.235676,-0.05499999999999994,-0.2649999999999999,0.1576924866314181,0.004028685696494894
11.54,0.097734,-0.192703,-0.05499999999999994,-0.22499999999999987,0.15611140562111395,0.004674598063947604
11.86,0.098662,-0.151588,-0.05499999999999994,-0.18500000000000005,0.15725257386764765,0.005300127499310074
12.18,0.099749,-0.103599,-0.04499999999999993,-0.135,0.14811581887833583,0.005933143372347433
12.5,0.100837,-0.055612,-0.04499999999999993,-0.08499999999999996,0.14876856224686713,0.006563425264662451
12.82,0.101924,-0.007624,-0.04499999999999993,-0.04499999999999993,0.15160351958975088,0.007174180404733323
13.14,0.103011,0.040364,-0.04499999999999993,0.0050000000000001155,0.1521770962300174,0.007806711904457872
13.46,0.104099,0.088351,-0.04499999999999993,0.05499999999999994,0.15278351024243417,0.008443002270704113
13.78,0.105186,0.136339,-0.04499999999999993,0.10499999999999998,0.153420883575216,0.009092103800149217
14.1,0.106273,0.184327,-0.04499999999999993,0.15500000000000003,0.1540895631053576,0.009733024012736353
14.42,0.10736,0.232314,-0.04499999999999993,0.20500000000000007,0.15478896664814318,0.01038504485785427
14.74,0.108448,0.280302,-0.04499999999999993,0.2550000000000001,0.15552003056841254,0.011020867340240955
15.06,0.109035,0.308387,-0.04499999999999993,0.28500000000000014,0.15580029844002216,0.01160907579585051
15.38,0.102955,0.346223,-0.06499999999999995,0.32499999999999996,0.16929057195839345,0.012186886668170461
15.7,0.098566,0.373768,-0.06499999999999995,0.345,0.1660765913065414,0.012952234868045072
16.02,0.092938,0.384003,-0.08499999999999996,0.355,0.18028617765375135,0.013672368852329432
16.34,0.069899,0.426125,-0.10499999999999998,0.385,0.17966893394796996,0.014444576873061608
16.66,0.061618,0.438846,-0.125,0.385,0.19423096982716223,0.014243776109957168
16.98,0.030687,0.475571,-0.15500000000000003,0.41500000000000004,0.19531643046605168,0.009481289062145518
17.3,0.025915,0.479301,-0.385,0.03500000000000014,0.6051896527750618,0.002025766067785298
17.62,0.008491,0.491532,-0.395,-0.014999999999999902,0.6475952857340763,0.002334630600481423
17.94,-0.016468,0.500268,-0.385,-0.04499999999999993,0.6581284273209903,0.0024217554765167157
18.26,-0.045448,0.510035,-0.385,-0.08499999999999996,0.6851001473719006,0.0024159982797018397
18.58,-0.072389,0.513845,-0.365,-0.10499999999999998,0.6845365814520068,0.001842826470670929
18.9,-0.098525,0.512749,-0.135,-0.4750000000000001,0.9884222339799931,0.0012586877046903298
19.22,-0.146486,0.510743,-0.14500000000000002,-0.4849999999999999,0.9957441088176217,0.002273288272423008
19.54,-0.179723,0.508309,-0.135,-0.4949999999999999,1.0043052803854013,0.002757173807832939
19.86,-0.2273,0.501897,-0.15500000000000003,-0.515,1.0194639761212754,0.003280552986174397
20.18,-0.248233,0.497679,-0.14500000000000002,-0.515,1.017927212196432,0.0035573075265728435
20.5,-0.294137,0.48361,-0.135,-0.535,1.0309660115003791,0.004394244763293372
20.82,-0.340031,0.469545,-0.18500000000000005,-0.535,1.0164375376706627,0.005143695707425931
21.14,-0.385924,0.455481,-0.20500000000000007,-0.5449999999999999,1.016708279270411,0.005600274246404851
21.46,-0.426791,0.443026,-0.24499999999999988,-0.5549999999999999,1.0144475660954586,0.006220632109207383
21.78,-0.456528,0.429572,-0.2749999999999999,-0.565,1.0110024124442039,0.005978845226123446
22.1,-0.459724,0.428101,-0.2849999999999999,-0.5549999999999999,0.9985069115319133,0.00354565062245041
22.42,-0.469087,0.416669,-0.29499999999999993,-0.5549999999999999,0.9871407848579653,0.005405304057174349
22.74,-0.499228,0.379301,-0.375,-0.595,0.9821888996445642,0.0021743149482213405
23.06,-0.512597,0.362675,0.4850000000000001,-0.4949999999999999,1.3156010717668178,0.002527499217788806
23.38,-0.526267,0.333174,0.5150000000000001,-0.4849999999999999,1.3242528684375203,0.002655773967325209
23.7,-0.534953,0.313533,0.5049999999999999,-0.515,1.3296500194780578,0.002711433036876832
24.02,-0.539334,0.284517,0.5150000000000001,-0.5549999999999999,1.3477421774378808,0.002325032734912925
24.34,-0.545595,0.242103,0.565,-0.29499999999999993,1.2336534710501161,0.001729518383274159
24.66,-0.546191,0.209956,0.6150000000000002,0.10499999999999998,1.1659246546912885,0.0012234349867600513
24.98,-0.547014,0.161962,0.5950000000000002,0.10499999999999998,1.1434337084588684,0.002540714866096023
25.3,-0.547837,0.113969,0.5950000000000002,0.05499999999999994,1.1443573530720201,0.003574179703560005
25.62,-0.54866,0.065976,0.5950000000000002,0.0050000000000001155,1.1452843612727803,0.004326864680619625
25.94,-0.549483,0.017983,0.605,0.0050000000000001155,1.1545559993252816,0.005073260104185639
26.26,-0.550306,-0.03001,0.605,-0.04499999999999993,1.1554032429139187,0.005901233199288239
26.58,-0.551129,-0.078003,0.605,-0.09499999999999997,1.1562539351933034,0.006718253868816766
26.9,-0.54826,-0.096196,0.605,-0.11499999999999999,1.1534132902026055,0.007736055019695871
27.22,-0.544706,-0.117789,0.605,-0.125,1.1497286136114906,0.00835831975864555
27.54,-0.54469,-0.117741,0.5950000000000002,-0.135,1.1398206741329975,0.011317786369197207
27.86,-0.533946,-0.127929,0.585,-0.23499999999999988,1.1240570937265597,0.0017913251173740305
28.18,-0.501076,-0.159176,0.2450000000000001,0.4950000000000001,0.9922578479165586,0.0016712581590455624
28.5,-0.496269,-0.161979,0.19500000000000006,0.4950000000000001,0.9536635868072139,0.0019998118204583235
28.82,-0.477306,-0.171875,0.2250000000000001,0.4850000000000001,0.9616228383628377,0.0020911276894516767
29.14,-0.457211,-0.175115,0.07499999999999996,0.4750000000000001,0.840177398973574,0.001903245530072519
29.46,-0.426727,-0.179904,0.05499999999999994,0.44500000000000006,0.7890284606685618,0.001335789861725907
29.78,-0.394588,-0.178457,-0.32499999999999996,0.2450000000000001,0.4291367155033464,0.001336473522000958
30.1,-0.346634,-0.176301,-0.2849999999999999,0.21500000000000008,0.39612526119524377,0.0027600956313861224
30.42,-0.298683,-0.174145,-0.24499999999999988,0.19500000000000006,0.37302800902077055,0.004062864985045848
30.74,-0.250731,-0.171988,-0.20500000000000007,0.19500000000000006,0.36982633289829436,0.005249057218675812
31.06,-0.20278,-0.169832,-0.15500000000000003,0.18500000000000005,0.3580344628998723,0.006328355869609564
31.38,-0.154828,-0.167676,-0.10499999999999998,0.18500000000000005,0.3561785936296566,0.007338654677271417
31.7,-0.106877,-0.16552,-0.06499999999999995,0.18500000000000005,0.3530126818246053,0.00835081614134524
32.02,-0.088516,-0.164246,-0.04499999999999993,0.15500000000000003,0.32219815451364714,0.009274173146417954
32.34,-0.041719,-0.153482,0.0050000000000001155,0.16500000000000004,0.32189043055828803,0.010452144425312225
32.66,-0.03218,-0.151322,0.015000000000000124,0.16500000000000004,0.31982113764415265,0.011374777556032232
32.98,0.007506,-0.130744,0.04499999999999993,0.17500000000000004,0.30803440322795117,0.012520027007579699
33.3,0.050116,-0.108643,0.07499999999999996,0.18500000000000005,0.2946954782567931,0.013366080372837841
33.62,0.092726,-0.086543,0.11499999999999999,0.20500000000000007,0.29239263315788244,0.01479117067777047
33.94,0.11715,-0.075509,0.125,0.20500000000000007,0.28061881900720775,0.016065426424621977
34.26,0.159896,-0.05994,0.16500000000000004,0.2250000000000001,0.2849857091434587,0.018695334031367358
34.58,0.177116,-0.057404,0.19500000000000006,0.2250000000000001,0.28296970981361247,0.020985769173784218
34.9,0.20109,-0.056978,0.21500000000000008,0.2250000000000001,0.28232088230239016,0.021615885514570977
35.22,0.244222,-0.057113,0.2550000000000001,0.18500000000000005,0.24235278016354594,0.0258245177164907
35.54,0.279266,-0.061092,0.29499999999999993,0.18500000000000005,0.24659446713176683,0.030553505047955058
35.86,0.30918,-0.066071,0.32499999999999996,0.18500000000000005,0.2515689158878736,0.03524033091600958
