timestamp,gt_x,gt_y,est_x,est_y,position_error_m,max_belief
0.02,-0.4588,-0.55,-0.41500000000000004,-0.4949999999999999,0.07030960105135012,0.00045971346039210134
0.66,-0.4588,-0.55,-0.5449999999999999,0.4750000000000001,1.0286182187770156,0.0005419443348891216
1.3,-0.4588,-0.55,-0.42500000000000004,0.4850000000000001,1.035551756311581,0.000869349462722379
1.94,-0.4588,-0.55,-0.33499999999999996,-0.4949999999999999,0.13546748687415747,0.0023390144064151406
2.58,-0.4588,-0.55,-0.33499999999999996,-0.4949999999999999,0.13546748687415747,0.004127758296609071
3.22,-0.4588,-0.55,-0.42500000000000004,0.5150000000000001,1.0655362218151012,0.004575068903618041
3.86,-0.389867,-0.550005,-0.355,0.5150000000000001,1.065575599248594,0.0052310016390758616
4.5,-0.342445,-0.550009,-0.21500000000000008,0.5150000000000001,1.072607289787833,0.005728232811063444
5.14,-0.246445,-0.550016,-0.20500000000000007,0.4750000000000001,1.0258535413405756,0.007413506354577438
5.78,-0.150445,-0.550024,-0.014999999999999902,0.405,0.9645808357006684,0.006128759158032971
6.42,-0.054445,-0.550031,0.08499999999999996,0.4750000000000001,1.0344725511032182,0.007660847780229747
7.06,-0.002331,-0.550022,0.135,0.4750000000000001,1.0341807888589887,0.008814134339297017
7.7,0.047847,-0.539278,0.09499999999999997,0.4850000000000001,1.025362778090272,0.007836860813625902
8.34,0.078133,-0.514118,0.04499999999999993,0.44500000000000006,0.9596901237446388,0.006006594571064759
8.98,0.100565,-0.485862,0.14500000000000002,0.5049999999999999,0.991857838739504,0.008224421573235606
9.62,0.109924,-0.436344,0.07499999999999996,0.5550000000000002,0.9919589770308047,0.011861712413548052
10.26,0.107664,-0.379469,0.20500000000000007,0.6150000000000002,0.9992211411179212,0.007759828274646609
10.9,0.102516,-0.283607,0.10499999999999998,0.7149999999999999,0.9986100894267991,0.00909519035968802
11.54,0.097734,-0.192703,0.10499999999999998,0.8050000000000002,0.9977294578015627,0.00663817077164332
12.18,0.099749,-0.103599,0.05499999999999994,-0.22499999999999987,0.12938576352133946,0.002270038098763261
12.82,0.101924,-0.007624,-0.23499999999999988,-0.125,0.356784118413362,0.0030822183681277785
13.46,0.104099,0.088351,0.0050000000000001155,-0.02499999999999991,0.15056248205313286,0.006247489803630964
14.1,0.106273,0.184327,-0.06499999999999995,0.07499999999999996,0.203191617587931,0.012163627761020531
14.74,0.108448,0.280302,-0.06499999999999995,0.17500000000000004,0.20291062049089487,0.019546409916532694
15.38,0.102955,0.346223,-0.08499999999999996,0.2450000000000001,0.21347875246497008,0.02208477152845112
16.02,0.092938,0.384003,-0.10499999999999998,0.28500000000000014,0.22131661901673802,0.026353620176262707
16.66,0.061618,0.438846,-0.135,0.33499999999999996,0.22235698693767195,0.0320274223524327
17.3,0.025915,0.479301,-0.17500000000000004,0.375,0.22637476852776683,0.02364673622073203
17.94,-0.016468,0.500268,-0.21500000000000008,0.395,0.22471383323685268,0.025943719082889456
18.58,-0.072389,0.513845,-0.2749999999999999,0.405,0.22999663333622944,0.04965757003631823
19.22,-0.146486,0.510743,-0.345,0.405,0.22492085329066305,0.04415773996978617
19.86,-0.2273,0.501897,-0.42500000000000004,0.395,0.2247493239344671,0.030025723587411613
20.5,-0.294137,0.48361,-0.24499999999999988,-0.565,1.049760628366772,0.00598807443590676
21.14,-0.385924,0.455481,-0.30499999999999994,-0.595,1.0535933870032594,0.007375686754980391
21.78,-0.456528,0.429572,-0.355,-0.625,1.0594479873821083,0.007090609897475447
22.42,-0.469087,0.416669,-0.405,-0.635,1.0536198693694039,0.007321792671106451
23.06,-0.512597,0.362675,-0.44500000000000006,-0.6849999999999999,1.0498534469315228,0.010733873832664326
23.7,-0.534953,0.313533,-0.4849999999999999,-0.615,0.9298757090590118,0.014024192463799826
24.34,-0.545595,0.242103,-0.4750000000000001,-0.8049999999999999,1.049480036319891,0.014474811979275143
24.98,-0.547014,0.161962,-0.4750000000000001,-0.765,0.9297551105748223,0.004814734700020277
25.62,-0.54866,0.065976,0.5750000000000002,-0.21500000000000008,1.1582570130053176,0.0020354197759163894
26.26,-0.550306,-0.03001,0.5750000000000002,-0.19500000000000006,1.1373369306129122,0.0025729985368238913
26.9,-0.54826,-0.096196,0.5950000000000002,-0.2649999999999999,1.1556548870731262,0.0036943534110859357
27.54,-0.54469,-0.117741,0.5750000000000002,-0.21500000000000008,1.123906138955118,0.0033708498168855106
28.18,-0.501076,-0.159176,0.585,0.03500000000000014,1.1032975105346696,0.004068818609535456
28.82,-0.477306,-0.171875,0.5750000000000002,0.025000000000000133,1.0705641892296793,0.00414115150329433
29.46,-0.426727,-0.179904,0.665,0.015000000000000124,1.108988463305638,0.01082889837710796
30.1,-0.346634,-0.176301,0.7450000000000001,0.10499999999999998,1.1272954548639855,0.02209208996138686
30.74,-0.250731,-0.171988,0.8450000000000002,0.10499999999999998,1.130198556230276,0.02152313741811878
31.38,-0.154828,-0.167676,0.9449999999999998,0.10499999999999998,1.1331256905392268,0.014436917080155634
32.02,-0.088516,-0.164246,-0.004999999999999893,0.10499999999999998,0.2819012784149799,0.006607965273653897
32.66,-0.03218,-0.151322,0.05499999999999994,0.11499999999999999,0.2802280501377405,0.01410043044922361
33.3,0.050116,-0.108643,0.135,0.15500000000000003,0.2769709820631035,0.013100415689769218
33.94,0.11715,-0.075509,0.16500000000000004,0.17500000000000004,0.2550380002685875,0.010842787078442297
34.58,0.177116,-0.057404,0.2350000000000001,0.20500000000000007,0.26871251677582875,0.019059654659244238
35.22,0.244222,-0.057113,0.30499999999999994,0.14500000000000002,0.21105361890524407,0.012217433453060995
35.86,0.30918,-0.066071,0.365,0.125,0.19905777915218484,0.019886005392923935
36.5,0.37894,-0.084892,0.4650000000000001,0.10499999999999998,0.2084833213089239,0.01738461938679805
37.14,0.441725,-0.113787,0.4950000000000001,0.07499999999999996,0.19616002904261612,0.018461198641139938
37.78,0.466046,-0.13556,0.5150000000000001,0.05499999999999994,0.19674757359621997,0.009523590398435249
38.42,0.515965,-0.199763,0.5350000000000001,-0.17500000000000004,0.03123359399748935,0.005690728479590411
39.06,0.530228,-0.231679,0.6150000000000002,-0.02499999999999991,0.22338867702952195,0.009070574996195483
39.7,0.549916,-0.32565,0.6350000000000002,-0.11499999999999999,0.22718430745982446,0.002834548838624577
40.34,0.557863,-0.383008,0.605,-0.17500000000000004,0.21328203120047404,0.012334584303354072
40.98,0.549339,-0.398467,0.605,-0.135,0.2692823926847056,0.006283636840247106
41.62,0.526511,-0.422002,-0.125,-0.43500000000000005,0.6516406456974579,0.0034554746381160887
42.26,0.452593,-0.483264,-0.19500000000000006,-0.4750000000000001,0.6476457267248816,0.006840696856525041
42.9,0.392065,-0.532484,-0.2549999999999999,-0.795,0.6982891696718487,0.0035809725758201632
43.54,0.31198,-0.58544,-0.625,0.405,1.3634158991298289,0.0026771896006289883
44.18,0.272081,-0.606713,0.42500000000000004,0.4650000000000001,1.0825677692089304,0.005597742739981096
44.82,0.213312,-0.615202,0.365,0.45500000000000007,1.0808985013163819,0.020719449598372398
45.46,0.135197,-0.615485,0.28500000000000014,0.45500000000000007,1.080915849654357,0.028430289266895007
46.1,0.057125,-0.615798,0.20500000000000007,0.45500000000000007,1.0809603935524186,0.026297577948686177
46.74,-0.03875,-0.620715,0.10499999999999998,0.4750000000000001,1.1051042592104152,0.025378875444546294
47.38,-0.134624,-0.625631,0.0050000000000001155,0.4750000000000001,1.1094518734659022,0.02502796696324628
48.02,-0.2157,-0.629501,-0.07499999999999996,0.4850000000000001,1.1233472165813205,0.03053712432357282
48.66,-0.308173,-0.625513,-0.16500000000000004,0.4850000000000001,1.1197042605518657,0.029149770464333095
49.3,-0.383184,-0.619315,-0.24499999999999988,0.5049999999999999,1.13277492781267,0.0336192700124997
49.94,-0.459779,-0.603185,-0.32499999999999996,0.5350000000000001,1.146137196441159,0.03578936862327573
50.58,-0.515247,-0.587244,-0.385,0.5449999999999999,1.1397108214564782,0.05557682715318727
51.22,-0.515178,-0.587218,-0.385,0.5449999999999999,1.139677108310946,0.05653080944447282
51.86,-0.539005,-0.519848,-0.405,0.6150000000000002,1.142732393488957,0.04619950083088804
52.5,-0.547802,-0.475881,-0.41500000000000004,0.6350000000000002,1.1187908505904938,0.04630426013001621
53.14,-0.549644,-0.379879,-0.41500000000000004,0.7349999999999999,1.1229800494118316,0.005986257661367123
53.78,-0.548181,-0.298662,-0.41500000000000004,0.8050000000000002,1.1116685607702506,0.006689756938341824
54.42,-0.535358,-0.233699,0.685,0.09499999999999997,1.2638499439272846,0.004270168653720502
55.06,-0.517183,-0.185248,0.7050000000000001,0.14500000000000002,1.2660154134105162,0.010359991290858602
55.7,-0.484031,-0.155122,0.7450000000000001,-0.2849999999999999,1.2358743843307862,0.011538823170891057
56.34,-0.448261,-0.122606,0.8450000000000002,-0.2549999999999999,1.3000200711362115,0.03411662357635203
56.98,-0.390611,-0.105742,0.7949999999999999,0.2250000000000001,1.230879244233568,0.013325680324636853
57.62,-0.328462,-0.104076,0.855,0.2250000000000001,1.2283620472889905,0.03128099283448812
58.26,-0.324954,-0.103997,0.855,0.2250000000000001,1.2249614149535486,0.031652953581665935
58.9,-0.324954,-0.103997,0.855,0.2250000000000001,1.2249614149535486,0.011590218108627062
59.54,-0.324954,-0.103997,-0.2549999999999999,0.0050000000000001155,0.12951412326460787,0.006820625163277326
