timestamp,range_0,range_4,range_8,range_12,range_16,range_20,range_24,range_28,range_32,range_36,range_40,range_44,range_48,range_52,range_56,range_60,range_64,range_68,range_72,range_76,range_80,range_84,range_88,range_92,range_96,range_100,range_104,range_108,range_112,range_116,range_120,range_124,range_128,range_132,range_136,range_140,range_144,range_148,range_152,range_156,range_160,range_164,range_168,range_172,range_176,range_180,range_184,range_188,range_192,range_196,range_200,range_204,range_208,range_212,range_216,range_220,range_224,range_228,range_232,range_236,range_240,range_244,range_248,range_252,range_256,range_260,range_264,range_268,range_272,range_276,range_280,range_284,range_288,range_292,range_296,range_300,range_304,range_308,range_312,range_316,range_320,range_324,range_328,range_332,range_336,range_340,range_344,range_348,range_352,range_356,odom_x,odom_y,odom_theta,v,w,gt_x,gt_y,gt_theta
0.220,0.257903,0.259445,0.266078,0.264921,0.266236,0.276981,0.280210,0.292753,0.305121,0.329818,0.331608,0.365659,0.398225,0.427499,0.468042,0.517108,0.613626,0.692806,0.869995,1.087734,1.317735,1.304637,1.295486,1.297707,1.302466,1.334953,1.352495,1.371590,1.409109,1.465719,1.507610,1.568558,1.663201,1.772818,1.708985,1.612120,1.517077,1.441776,1.388324,1.350272,1.309025,1.285824,1.260616,1.251284,1.244458,1.236544,1.241076,1.251429,0.920222,0.698536,0.570014,0.477968,0.415305,0.367550,0.334610,0.297423,0.280504,0.271804,0.251185,0.234111,0.230061,0.230171,0.217486,0.213140,0.206601,0.202442,0.199551,0.195111,0.196661,0.195351,0.216223,0.216308,0.211649,0.218479,0.236581,0.230960,0.233810,0.257645,0.280845,0.286990,0.323894,0.315030,0.294040,0.285063,0.283161,0.270875,0.270285,0.261965,0.264236,0.264025,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.240,0.253181,0.257341,0.264734,0.269585,0.269777,0.276915,0.288086,0.292093,0.307510,0.323807,0.344851,0.375719,0.389116,0.429130,0.475840,0.533927,0.607620,0.686522,0.869813,1.085558,1.321467,1.306616,1.297112,1.288076,1.312601,1.313174,1.341949,1.369709,1.405362,1.440444,1.501847,1.576746,1.658150,1.765726,1.711248,1.591124,1.530939,1.450642,1.398334,1.356380,1.321651,1.282502,1.266856,1.251359,1.237113,1.231821,1.238971,1.254207,0.927483,0.702077,0.569948,0.483957,0.414641,0.368003,0.335600,0.309963,0.290569,0.264676,0.253006,0.243361,0.234165,0.224163,0.211204,0.200894,0.203443,0.206174,0.201531,0.196737,0.187028,0.205487,0.194441,0.205760,0.209769,0.214732,0.211301,0.225196,0.241999,0.252593,0.273751,0.293322,0.304770,0.328896,0.302908,0.295074,0.289270,0.283501,0.266963,0.268204,0.264309,0.256679,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.260,0.265729,0.257428,0.262417,0.264699,0.275061,0.281056,0.291366,0.297476,0.308591,0.315638,0.334924,0.359599,0.387440,0.424509,0.468663,0.527768,0.609229,0.692262,0.876790,1.119019,1.316494,1.308489,1.300530,1.291998,1.303386,1.325124,1.343812,1.362561,1.405271,1.447447,1.511188,1.593755,1.658014,1.777598,1.711500,1.601796,1.529972,1.454023,1.395306,1.358673,1.321693,1.285427,1.269157,1.244562,1.237284,1.244371,1.239058,1.254453,0.919207,0.710045,0.601895,0.494884,0.420027,0.370928,0.327430,0.300034,0.274443,0.261895,0.246199,0.235140,0.228007,0.210716,0.216944,0.219299,0.206964,0.201199,0.203405,0.200156,0.190951,0.196271,0.206393,0.207623,0.202618,0.214641,0.218308,0.234538,0.259012,0.252459,0.285627,0.292177,0.315443,0.327927,0.306289,0.292046,0.291563,0.283543,0.269889,0.270505,0.257514,0.256850,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.280,0.258371,0.250441,0.266631,0.265779,0.276171,0.278120,0.285487,0.294944,0.295386,0.339679,0.347720,0.371416,0.384438,0.429626,0.468913,0.536866,0.605074,0.713064,0.879129,1.087293,1.321171,1.307286,1.296401,1.299727,1.305764,1.320945,1.344372,1.371566,1.409980,1.453212,1.501779,1.575475,1.652874,1.762334,1.706784,1.595740,1.519619,1.449389,1.401030,1.348863,1.327590,1.288769,1.258333,1.250648,1.247882,1.237013,1.232070,1.256104,0.921080,0.711058,0.582814,0.481359,0.417494,0.356674,0.346001,0.314215,0.286265,0.259968,0.251491,0.236317,0.237105,0.221617,0.219711,0.209664,0.202344,0.205879,0.202201,0.196026,0.198680,0.198649,0.202214,0.208183,0.211625,0.219350,0.224072,0.225127,0.240727,0.247316,0.270360,0.288738,0.309386,0.317574,0.301655,0.297770,0.281753,0.289441,0.273232,0.259680,0.263600,0.267449,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.300,0.255798,0.261323,0.256082,0.263573,0.267505,0.283982,0.278230,0.292629,0.318109,0.334494,0.349977,0.372400,0.397044,0.435163,0.468243,0.514298,0.621856,0.687607,0.879047,1.088845,1.316593,1.304771,1.300561,1.307086,1.317177,1.326840,1.344775,1.379432,1.408345,1.452992,1.507788,1.567795,1.660230,1.761194,1.709152,1.605358,1.523384,1.454764,1.399570,1.354685,1.314539,1.284361,1.261025,1.254501,1.242347,1.234439,1.242953,1.245534,0.918875,0.699804,0.604359,0.477326,0.416755,0.373737,0.339286,0.315834,0.287248,0.270627,0.257953,0.235379,0.229359,0.218962,0.211245,0.208506,0.207712,0.201299,0.199686,0.200188,0.206041,0.210063,0.208108,0.208586,0.219494,0.217715,0.223852,0.231139,0.233047,0.254675,0.269219,0.291225,0.313611,0.321339,0.307030,0.296310,0.287576,0.276387,0.268822,0.262373,0.267453,0.261915,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.320,0.252833,0.267974,0.264732,0.264899,0.278070,0.277845,0.285143,0.304424,0.318554,0.327230,0.343887,0.387909,0.397938,0.431319,0.483522,0.511519,0.612246,0.681967,0.867231,1.082029,1.326795,1.303804,1.301889,1.293844,1.307063,1.319873,1.342815,1.369668,1.406794,1.456367,1.516807,1.572407,1.663701,1.776863,1.716723,1.613060,1.526200,1.446984,1.392240,1.343604,1.316017,1.281564,1.265092,1.259107,1.237990,1.231473,1.249605,1.254206,0.923144,0.712814,0.570879,0.481016,0.426974,0.374181,0.339025,0.310253,0.302762,0.272240,0.255194,0.251045,0.225357,0.209352,0.206648,0.210376,0.200895,0.211502,0.198718,0.201515,0.192797,0.199948,0.201142,0.206627,0.209727,0.216163,0.227230,0.240157,0.237659,0.258146,0.284890,0.294243,0.324451,0.324155,0.299249,0.288981,0.276494,0.277866,0.266024,0.266439,0.272058,0.257556,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.340,0.261231,0.256856,0.252798,0.265558,0.269025,0.284062,0.286903,0.293940,0.309913,0.323759,0.344509,0.370817,0.390323,0.430539,0.474409,0.527457,0.620699,0.690099,0.880147,1.080312,1.321521,1.307729,1.305957,1.300167,1.306273,1.322750,1.350081,1.368350,1.402103,1.439544,1.513316,1.578571,1.669084,1.757193,1.710036,1.606067,1.511996,1.447767,1.393336,1.347923,1.315396,1.285025,1.260642,1.253170,1.242914,1.239873,1.238486,1.242270,0.920350,0.701325,0.604901,0.488810,0.416489,0.366329,0.335552,0.310531,0.285665,0.264455,0.254171,0.240479,0.229850,0.235603,0.207868,0.222188,0.196813,0.206228,0.202644,0.205583,0.199121,0.199158,0.204018,0.213893,0.208410,0.211473,0.210402,0.236668,0.243825,0.263531,0.265217,0.287555,0.319712,0.309950,0.300032,0.290075,0.280814,0.277245,0.269487,0.261990,0.266122,0.262481,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.360,0.267081,0.263933,0.256548,0.269670,0.272688,0.278978,0.288232,0.295909,0.304954,0.313776,0.341743,0.366040,0.389968,0.427913,0.473058,0.516453,0.617034,0.693690,0.875299,1.123329,1.316155,1.306323,1.304325,1.299094,1.308705,1.323699,1.339999,1.355805,1.405801,1.456017,1.513543,1.579486,1.656488,1.762864,1.705230,1.608289,1.517705,1.451350,1.396863,1.348539,1.311857,1.286533,1.264027,1.251562,1.242872,1.245723,1.245562,1.244835,0.927152,0.707673,0.594353,0.484554,0.424313,0.367926,0.325568,0.308235,0.280885,0.265460,0.249421,0.240484,0.228692,0.214293,0.218372,0.218121,0.211590,0.200860,0.201238,0.203950,0.198048,0.201589,0.204967,0.203811,0.195863,0.215172,0.226879,0.236892,0.244740,0.250931,0.270890,0.282749,0.316543,0.315658,0.303616,0.293602,0.281429,0.273705,0.270994,0.265375,0.264514,0.262440,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.380,0.262950,0.271707,0.264451,0.270048,0.268994,0.276299,0.280188,0.297823,0.308179,0.325620,0.350347,0.364413,0.386716,0.429758,0.472384,0.527633,0.620328,0.691863,0.872113,1.075850,1.323687,1.307247,1.302558,1.292170,1.313109,1.312642,1.332600,1.370902,1.404026,1.454774,1.518954,1.578199,1.658216,1.755932,1.703956,1.614628,1.523510,1.462664,1.392612,1.345993,1.319819,1.285481,1.254100,1.250609,1.245065,1.241592,1.253338,1.253924,0.925350,0.701337,0.597118,0.476058,0.424593,0.363805,0.334309,0.315458,0.279257,0.261864,0.252324,0.238454,0.229494,0.217433,0.212690,0.214567,0.194716,0.208393,0.202163,0.202183,0.191123,0.205994,0.193909,0.196410,0.210962,0.213396,0.225636,0.242306,0.243453,0.252662,0.263957,0.282861,0.327284,0.321464,0.314932,0.289352,0.278881,0.281668,0.269943,0.255446,0.263561,0.264633,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.400,0.260872,0.263728,0.254054,0.279022,0.271742,0.276831,0.291914,0.296607,0.307831,0.325177,0.345946,0.365950,0.396084,0.435743,0.467868,0.515683,0.611923,0.692732,0.871937,1.092830,1.319032,1.306449,1.294169,1.300251,1.306115,1.328011,1.351667,1.370503,1.407833,1.450924,1.492841,1.564866,1.649697,1.755715,1.707105,1.624569,1.520666,1.451726,1.396294,1.354305,1.311982,1.292104,1.272159,1.244931,1.237653,1.239514,1.245358,1.243526,0.898911,0.704043,0.596131,0.495432,0.419675,0.370804,0.336954,0.311853,0.280795,0.270103,0.256971,0.234157,0.224429,0.227024,0.216587,0.214042,0.211696,0.203739,0.201363,0.193793,0.199204,0.199000,0.209280,0.215480,0.210563,0.217203,0.221784,0.216189,0.230119,0.244140,0.263738,0.285036,0.332827,0.318620,0.303991,0.293035,0.287195,0.273831,0.276564,0.273508,0.257882,0.257220,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.420,0.254416,0.259984,0.257232,0.258364,0.271912,0.283703,0.283917,0.303581,0.317153,0.328510,0.340611,0.377885,0.400764,0.423456,0.472049,0.510236,0.625894,0.686818,0.880772,1.084242,1.318037,1.312541,1.295267,1.307845,1.307001,1.320050,1.344265,1.369229,1.406143,1.450136,1.498788,1.570217,1.655712,1.764451,1.700683,1.602622,1.521715,1.454920,1.396976,1.349604,1.307883,1.283859,1.263398,1.248754,1.239771,1.233058,1.241614,1.242895,0.913665,0.704211,0.604543,0.480562,0.432128,0.372781,0.339185,0.307103,0.292736,0.275934,0.244966,0.239570,0.225298,0.223001,0.211212,0.211328,0.203109,0.202745,0.207458,0.194892,0.206800,0.199886,0.201319,0.208077,0.209288,0.215513,0.220996,0.222137,0.235468,0.250156,0.272475,0.279126,0.315307,0.319670,0.307187,0.293716,0.282494,0.269730,0.268320,0.264746,0.261705,0.259337,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.440,0.270663,0.257039,0.270066,0.268521,0.271937,0.275569,0.282605,0.299674,0.314232,0.339457,0.341306,0.367102,0.401383,0.414193,0.464272,0.536007,0.611546,0.718056,0.867731,1.086325,1.321647,1.305238,1.297668,1.305984,1.308249,1.321849,1.344647,1.373402,1.407378,1.450404,1.510818,1.588685,1.656069,1.754103,1.711356,1.618153,1.520910,1.453248,1.394139,1.356047,1.310296,1.289827,1.262948,1.253163,1.241387,1.249306,1.238669,1.259540,0.926570,0.704237,0.575502,0.479335,0.427534,0.375615,0.344251,0.306419,0.281949,0.274965,0.235697,0.230783,0.236246,0.228091,0.221362,0.210877,0.205412,0.206354,0.200154,0.197292,0.204938,0.201134,0.203116,0.208459,0.213462,0.216748,0.221265,0.234168,0.253940,0.250513,0.262126,0.288875,0.326408,0.318864,0.305514,0.290876,0.288938,0.272145,0.274289,0.264295,0.266114,0.260955,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.460,0.252134,0.276257,0.268432,0.268128,0.275077,0.289739,0.288743,0.290994,0.314209,0.337151,0.335765,0.366982,0.396250,0.440500,0.475685,0.515792,0.620032,0.689982,0.868493,1.086070,1.317414,1.301508,1.302193,1.314542,1.312773,1.325198,1.341581,1.368027,1.395471,1.459571,1.504436,1.558621,1.663830,1.768193,1.710991,1.603353,1.515670,1.442493,1.396201,1.350157,1.323310,1.292060,1.261248,1.250875,1.241494,1.230774,1.257889,1.257906,0.925089,0.709830,0.605184,0.484615,0.413545,0.371466,0.343538,0.301852,0.281830,0.269829,0.264293,0.242964,0.228043,0.219891,0.214663,0.199053,0.204937,0.202121,0.196422,0.201819,0.213497,0.205659,0.206466,0.205393,0.208087,0.204840,0.230433,0.227786,0.223872,0.258275,0.276218,0.290239,0.315579,0.313624,0.294759,0.292941,0.283047,0.285161,0.276522,0.262594,0.263827,0.261061,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.480,0.252637,0.262717,0.260452,0.271996,0.276828,0.286198,0.285290,0.299763,0.309119,0.319841,0.342117,0.364203,0.395763,0.432829,0.475972,0.525536,0.610578,0.685825,0.868441,1.121269,1.319975,1.309333,1.296596,1.293129,1.304744,1.323313,1.338260,1.370125,1.401403,1.459225,1.512247,1.575730,1.661246,1.764471,1.712474,1.616636,1.512473,1.451135,1.394434,1.350827,1.311896,1.289953,1.268437,1.247356,1.237795,1.231277,1.244348,1.247881,0.891884,0.711791,0.607039,0.481162,0.426110,0.370246,0.326384,0.308389,0.279049,0.270889,0.256704,0.243149,0.230704,0.209046,0.210505,0.211587,0.209569,0.204682,0.204248,0.196221,0.192082,0.197629,0.204582,0.202071,0.210185,0.210772,0.230088,0.235597,0.240983,0.255691,0.272497,0.292923,0.327787,0.310427,0.303401,0.291173,0.283717,0.273745,0.274415,0.269785,0.260306,0.257362,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
