timestamp,range_0,range_16,range_32,range_48,range_64,range_80,range_96,range_112,range_128,range_144,range_160,range_176,range_192,range_208,range_224,range_240,range_256,range_272,range_288,range_304,range_320,range_336,range_352,odom_x,odom_y,odom_theta,v,w,gt_x,gt_y,gt_theta
0.380,0.262950,0.268994,0.308179,0.386716,0.620328,1.323687,1.313109,1.404026,1.658216,1.523510,1.319819,1.245065,0.925350,0.424593,0.279257,0.229494,0.194716,0.191123,0.210962,0.243453,0.327284,0.278881,0.263561,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.400,0.260872,0.271742,0.307831,0.396084,0.611923,1.319032,1.306115,1.407833,1.649697,1.520666,1.311982,1.237653,0.898911,0.419675,0.280795,0.224429,0.211696,0.199204,0.210563,0.230119,0.332827,0.287195,0.257882,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.420,0.254416,0.271912,0.317153,0.400764,0.625894,1.318037,1.307001,1.406143,1.655712,1.521715,1.307883,1.239771,0.913665,0.432128,0.292736,0.225298,0.203109,0.206800,0.209288,0.235468,0.315307,0.282494,0.261705,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.440,0.270663,0.271937,0.314232,0.401383,0.611546,1.321647,1.308249,1.407378,1.656069,1.520910,1.310296,1.241387,0.926570,0.427534,0.281949,0.236246,0.205412,0.204938,0.213462,0.253940,0.326408,0.288938,0.266114,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.460,0.252134,0.275077,0.314209,0.396250,0.620032,1.317414,1.312773,1.395471,1.663830,1.515670,1.323310,1.241494,0.925089,0.413545,0.281830,0.228043,0.204937,0.213497,0.208087,0.223872,0.315579,0.283047,0.263827,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.480,0.252637,0.276828,0.309119,0.395763,0.610578,1.319975,1.304744,1.401403,1.661246,1.512473,1.311896,1.237795,0.891884,0.426110,0.279049,0.230704,0.209569,0.192082,0.210185,0.240983,0.327787,0.283717,0.260306,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.500,0.257250,0.274096,0.309187,0.398658,0.609554,1.316734,1.307041,1.399077,1.664560,1.524032,1.307595,1.237530,0.930521,0.426192,0.278454,0.221349,0.205312,0.196912,0.207808,0.242638,0.311203,0.280352,0.264705,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.520,0.264556,0.283527,0.306887,0.399917,0.606906,1.314430,1.312835,1.403974,1.652430,1.526664,1.311642,1.248095,0.925178,0.415261,0.292548,0.239264,0.211264,0.201052,0.210339,0.238286,0.305729,0.279756,0.266786,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.540,0.264596,0.274864,0.311561,0.390312,0.618213,1.314398,1.310460,1.404496,1.657354,1.529806,1.316219,1.242915,0.918534,0.420850,0.277391,0.234605,0.209170,0.199777,0.211335,0.241871,0.309438,0.281246,0.259807,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.560,0.262552,0.272175,0.320316,0.398850,0.615522,1.312036,1.309685,1.404920,1.667615,1.516262,1.315546,1.247179,0.913123,0.426825,0.265308,0.230064,0.210849,0.202247,0.212070,0.254222,0.313186,0.287679,0.263563,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
