timestamp,gt_x,gt_y,est_x,est_y,position_error_m,max_belief,status
0.02,-0.4588,-0.55,-0.42500000000000004,-0.515,0.04865634593760611,0.00015340935058400702,NORMAL
0.04,-0.4588,-0.55,-0.365,-0.505,0.10403576308174033,0.00027253746698440036,NORMAL
0.06,-0.4588,-0.55,-0.42500000000000004,-0.4949999999999999,0.06455571237311238,0.00042676570287041276,NORMAL
0.08,-0.4588,-0.55,-0.43500000000000005,-0.4949999999999999,0.059928624212474746,0.0005981906321723583,NORMAL
0.1,-0.4588,-0.55,-0.42500000000000004,0.5249999999999999,1.0755312361805212,0.0007984855206871185,NORMAL
0.12,-0.4588,-0.55,-0.42500000000000004,0.5249999999999999,1.0755312361805212,0.0015710066452347296,NORMAL
0.14,-0.4588,-0.55,-0.42500000000000004,0.5249999999999999,1.0755312361805212,0.002405568021699756,NORMAL
0.16,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.0034285569856142488,NORMAL
0.18,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.004468792846690042,NORMAL
0.2,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.0053730657343652784,NORMAL
0.22,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.006136028665728279,NORMAL
0.24,-0.4588,-0.55,-0.41500000000000004,0.5350000000000001,1.0858837138478505,0.006767992706071039,NORMAL
0.26,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.007356963963136932,NORMAL
0.28,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.008036853464625592,NORMAL
0.3,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.00870394561453099,NORMAL
0.32,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.009602647865342404,NORMAL
0.34,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.01011029955815773,NORMAL
0.36,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.010475645829249595,NORMAL
0.38,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.011061727794376893,NORMAL
0.4,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.011946942125502551,NORMAL
0.42,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.012557666496572804,NORMAL
0.44,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.013357433424388658,NORMAL
0.46,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.014072817308946316,NORMAL
0.48,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.014673012918968418,NORMAL
0.5,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.015209037171055489,NORMAL
0.52,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.01578123692847021,NORMAL
0.54,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.016363910494241244,NORMAL
0.56,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.016973579236099635,NORMAL
0.58,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.017539569464354723,NORMAL
0.6,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.01811337590091161,NORMAL
0.62,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.018708819625704445,NORMAL
0.64,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.01932291780853604,NORMAL
0.66,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.019892415896351313,NORMAL
0.68,-0.4588,-0.55,-0.42500000000000004,0.5350000000000001,1.0855263423795851,0.02045057737046625,NORMAL
0.7,-0.4588,-0.55,-0.42500000000000004,0.5449999999999999,1.0955215378987306,0.021009666270154496,NORMAL
0.72,-0.4588,-0.55,-0.42500000000000004,0.5449999999999999,1.0955215378987306,0.021560302496092514,NORMAL
0.74,-0.4588,-0.55,-0.42500000000000004,0.5449999999999999,1.0955215378987306,0.022103313199912423,NORMAL
0.76,-0.4588,-0.55,-0.42500000000000004,0.5449999999999999,1.0955215378987306,0.02272687425500967,NORMAL
0.78,-0.4588,-0.55,-0.42500000000000004,0.5449999999999999,1.0955215378987306,0.023299945428568714,NORMAL
0.8,-0.4588,-0.55,-0.42500000000000004,0.5449999999999999,1.0955215378987306,0.02385736304733445,NORMAL
0.82,-0.4588,-0.55,-0.42500000000000004,0.5449999999999999,1.0955215378987306,0.024376382055017038,NORMAL
0.84,-0.4588,-0.55,-0.42500000000000004,0.5449999999999999,1.0955215378987306,0.024203226149344996,NORMAL
0.86,-0.4588,-0.55,-0.42500000000000004,0.5449999999999999,1.0955215378987306,0.02478469277224589,NORMAL
0.88,-0.4588,-0.55,-0.42500000000000004,0.5449999999999999,1.0955215378987306,0.025337473313805585,NORMAL
0.9,-0.4588,-0.55,-0.42500000000000004,0.5449999999999999,1.0955215378987306,0.025831309321912865,NORMAL
0.92,-0.4588,-0.55,-0.42500000000000004,0.5449999999999999,1.0955215378987306,0.025593334373403033,NORMAL
0.94,-0.4588,-0.55,-0.42500000000000004,0.5449999999999999,1.0955215378987306,0.026110337927151426,NORMAL
